id	district	quarter	plot.number	plot.part	taxpayer.men	taxpayer.women	no.tax.men	no.tax.women	in.russia.men	in.russia.women	total.men	total.women	owner	rent	other	orthodox	other.christian	other.religion	draftee
1	Valli	1	1		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
2	Valli	1	2		2	3	2	2	0	0	4	5	0	9	0	0	0	0	0
3	Valli	1	2		1	1	1	2	0	0	2	3	5	0	0	0	0	0	0
4	Valli	1	2		3	4	1	0	0	0	4	4	8	0	0	0	0	0	0
5	Valli	1	2		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
6	Valli	1	3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Valli	1	4		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
8	Valli	1	5		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
9	Valli	1	5		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
10	Valli	1	5		1	1	1	1	0	0	3	0	0	5	0	0	0	0	0
11	Valli	1	5		1	1	1	1	0	0	2	0	0	4	0	0	0	0	0
12	Valli	1	6		0	3	0	1	0	0	0	4	3	1	0	0	0	0	0
13	Valli	1	6		0	1	1	0	0	0	1	1	2	0	0	0	2	0	0
14	Valli	1	6		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
15	Valli	1	6		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
16	Valli	1	6		1	1	1	0	0	0	2	1	3	0	0	0	0	0	0
17	Valli	1	7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	Valli	1	8		1	0	3	1	0	0	1	4	4	1	0	0	0	0	0
19	Valli	1	8		3	2	1	0	0	0	4	2	6	0	0	0	0	0	1
20	Valli	1	8		2	5	1	1	0	0	3	6	8	1	0	0	0	0	0
21	Valli	1	8		1	5	1	3	0	0	2	7	7	2	0	0	0	0	0
22	Valli	1	8		1	1	1	2	0	0	2	3	0	5	0	0	0	0	0
23	Valli	1	8		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
24	Valli	1	8		0	1	0	1	0	0	0	2	0	0	2	0	0	0	0
25	Valli	1	9		0	2	0	0	0	0	0	2	1	1	0	0	0	0	0
26	Valli	1	9		0	3	0	0	0	0	0	3	2	1	0	0	0	0	0
27	Valli	1	9		1	1	1	1	0	0	2	2	0	4	0	0	0	0	0
28	Valli	1	9		2	1	0	0	0	0	2	1	3	0	0	0	0	0	0
29	Valli	1	9		1	2	0	0	0	0	1	2	0	0	3	0	0	0	0
30	Valli	1	9		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
31	Valli	1	9		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
32	Valli	1	10		8	6	1	1	0	0	9	7	7	9	0	0	0	0	0
33	Valli	1	10		4	1	1	0	0	0	5	1	6	0	0	0	6	0	0
34	Valli	1	10		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
35	Valli	1	11		1	3	5	3	0	0	6	6	9	3	0	0	0	0	0
36	Valli	1	11		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
37	Valli	1	11		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
38	Valli	1	11		1	1	2	2	0	0	3	3	6	0	0	0	0	0	0
39	Valli	1	12		0	7	0	1	0	0	0	8	5	3	0	1	0	0	0
40	Valli	1	12		1	3	1	3	0	0	2	6	6	2	0	0	0	0	0
41	Valli	1	12		1	1	2	0	0	0	3	1	0	0	0	0	0	0	0
42	Valli	1	12		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
43	Valli	1	12		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
44	Valli	1	12		0	1	1	0	0	0	1	1	2	0	0	0	0	0	0
45	Valli	1	12		0	1	2	0	0	0	2	1	0	0	3	0	0	0	0
46	Valli	1	12		1	1	1	0	0	0	2	1	3	0	0	0	0	0	0
47	Valli	1	12		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
48	Valli	1	12		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
49	Valli	1	12		1	1	0	2	0	0	1	3	0	4	0	0	0	0	0
50	Valli	1	12		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
51	Valli	1	12		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
52	Valli	1	14		0	2	1	1	0	0	1	3	3	1	0	0	0	0	0
53	Valli	1	14		1	3	0	0	0	0	1	3	4	0	0	0	0	0	0
54	Valli	1	15		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
55	Valli	1	15		0	3	7	0	0	0	1	3	3	2	0	0	0	0	0
56	Valli	1	15		2	1	3	0	0	0	5	1	5	1	0	0	0	0	0
57	Valli	1	16		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	Valli	1	17		1	8	1	2	0	0	2	10	3	9	0	0	0	0	0
59	Valli	1	17		1	1	3	1	0	0	0	5	2	0	6	0	0	0	0
60	Valli	1	17		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
61	Valli	1	17		2	7	5	2	0	0	7	9	7	9	0	0	0	0	0
62	Valli	1	17		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
63	Valli	1	17		1	2	2	1	0	0	3	3	0	6	0	0	0	0	0
64	Valli	1	17		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
65	Valli	1	17		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
66	Valli	1	17		1	1	1	0	0	0	2	1	0	3	0	0	0	0	0
67	Valli	1	17		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
68	Valli	1	17		1	1	0	1	0	0	1	2	0	0	3	0	0	0	0
69	Valli	1	17		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
70	Valli	1	17		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
71	Valli	1	19		2	5	2	0	0	0	0	5	5	5	0	5	0	5	0
72	Valli	1	19		1	3	1	1	0	0	2	0	5	6	0	0	5	0	0
73	Valli	1	19		1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
74	Valli	1	19		1	4	3	0	0	0	0	5	0	5	5	3	0	1	0
75	Valli	1	19		2	2	0	0	0	0	2	2	3	1	0	0	0	0	0
76	Valli	1	19		3	1	2	3	0	0	5	0	5	6	3	0	0	0	0
77	Valli	1	19		1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
78	Valli	1	20		2	2	1	0	0	0	3	2	0	5	1	0	0	0	0
79	Valli	1	20		1	2	1	1	0	0	2	3	5	0	0	0	0	0	0
80	Valli	1	20		2	1	2	1	0	0	4	2	4	2	0	0	0	0	0
81	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
82	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
83	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
84	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
85	Valli	1	20		1	1	2	0	0	0	3	1	0	4	0	0	0	0	0
86	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
87	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
88	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
89	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
90	Valli	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
91	Valli	1	20		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
92	Valli	1	20		1	0	0	1	0	0	1	1	0	0	2	0	0	0	0
93	Valli	1	20		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
94	Valli	1	20		1	1	2	0	0	0	3	1	0	0	1	0	0	0	0
95	Valli	1	21		4	8	4	5	0	0	8	13	8	13	0	0	0	0	0
96	Valli	1	21		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
97	Valli	1	21		1	3	0	0	0	0	1	3	0	4	0	0	0	0	0
98	Valli	1	21		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
99	Valli	1	23		1	9	4	4	0	0	5	13	10	8	0	0	0	0	0
100	Valli	1	23		1	2	0	0	0	0	1	2	0	3	0	0	0	0	0
