"id","plot.number","taxpayer.men","taxpayer.women","no.tax.men","no.tax.women","in.russia.men","in.russia.women","total.men","total.women","upper","lower","worker.industrial","worker.other","servants","other","not.present","orthodox","other.christian","other.religion","draft"
1,1,2,1,4,0,0,0,6,1,0,7,0,0,0,0,0,0,0,0,0
2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,2,0,1,2,2,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0
4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8,2,0,7,0,2,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0
9,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14,2,0,1,1,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0
15,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
16,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
18,2,0,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
19,2,2,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0
20,3,2,2,1,2,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0
21,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
22,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23,3,1,1,2,2,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0
24,5,0,4,1,1,0,0,1,5,2,0,0,0,4,0,0,0,0,0,0
25,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
27,5,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
28,5,1,1,2,2,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0
29,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
30,5,1,1,0,3,0,0,1,4,0,0,0,0,5,0,0,0,0,0,0
31,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
32,6,0,0,1,2,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0
33,6,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
34,6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
