,alpha,bw,cell_size,convex_hull,convex_hull_buffer,exposure,isolation,kernel,km,year
0,1,50,25,True,1,0.036,0.371,epanechnikov,0.079,1920
1,1,50,25,True,1,0.036,0.377,triangle,0.081,1920
2,1,50,25,True,1,0.04,0.36,uniform,0.075,1920
3,1,50,25,True,1,0.036,0.378,distance_decay,0.081,1920
4,1,50,25,True,1,0.705,0.305,gaussian,0.044,1920
5,1,100,25,True,1,0.055,0.314,epanechnikov,0.051,1920
6,1,100,25,True,1,0.055,0.315,triangle,0.052,1920
7,1,100,25,True,1,0.058,0.312,uniform,0.047,1920
8,1,100,25,True,1,0.055,0.315,distance_decay,0.053,1920
9,1,100,25,True,1,0.694,0.308,gaussian,0.025,1920
10,1,250,25,True,1,0.182,0.31,epanechnikov,0.025,1920
11,1,250,25,True,1,0.176,0.309,triangle,0.026,1920
12,1,250,25,True,1,0.209,0.315,uniform,0.023,1920
13,1,250,25,True,1,0.175,0.309,distance_decay,0.026,1920
14,1,250,25,True,1,0.644,0.357,gaussian,0.013,1920
15,1,500,25,True,1,0.362,0.339,epanechnikov,0.015,1920
16,1,500,25,True,1,0.358,0.335,triangle,0.016,1920
17,1,500,25,True,1,0.373,0.36,uniform,0.015,1920
18,1,500,25,True,1,0.358,0.334,distance_decay,0.016,1920
19,1,500,25,True,1,0.579,0.421,gaussian,0.007,1920
20,1,50,50,True,1,0.368,0.32,epanechnikov,0.081,1920
21,1,50,50,True,1,0.362,0.329,triangle,0.081,1920
22,1,50,50,True,1,0.371,0.31,uniform,0.076,1920
23,1,50,50,True,1,0.362,0.331,distance_decay,0.081,1920
24,1,50,50,True,1,0.726,0.275,gaussian,0.044,1920
25,1,100,50,True,1,0.511,0.277,epanechnikov,0.051,1920
26,1,100,50,True,1,0.511,0.277,triangle,0.053,1920
27,1,100,50,True,1,0.509,0.278,uniform,0.049,1920
28,1,100,50,True,1,0.511,0.277,distance_decay,0.053,1920
29,1,100,50,True,1,0.713,0.286,gaussian,0.025,1920
30,1,250,50,True,1,0.439,0.289,epanechnikov,0.025,1920
31,1,250,50,True,1,0.441,0.287,triangle,0.026,1920
32,1,250,50,True,1,0.428,0.293,uniform,0.023,1920
33,1,250,50,True,1,0.442,0.287,distance_decay,0.026,1920
34,1,250,50,True,1,0.66,0.34,gaussian,0.013,1920
35,1,500,50,True,1,0.303,0.32,epanechnikov,0.015,1920
36,1,500,50,True,1,0.302,0.315,triangle,0.016,1920
37,1,500,50,True,1,0.301,0.341,uniform,0.015,1920
38,1,500,50,True,1,0.303,0.315,distance_decay,0.016,1920
39,1,500,50,True,1,0.589,0.411,gaussian,0.007,1920
40,1,50,100,True,1,0.473,0.286,epanechnikov,0.09,1920
41,1,50,100,True,1,0.474,0.311,triangle,0.092,1920
42,1,50,100,True,1,0.416,0.25,uniform,0.075,1920
43,1,50,100,True,1,0.478,0.321,distance_decay,0.092,1920
44,1,50,100,True,1,0.737,0.263,gaussian,0.046,1920
45,1,100,100,True,1,0.035,0.282,epanechnikov,0.053,1920
46,1,100,100,True,1,0.031,0.287,triangle,0.053,1920
47,1,100,100,True,1,0.052,0.272,uniform,0.049,1920
48,1,100,100,True,1,0.03,0.288,distance_decay,0.054,1920
49,1,100,100,True,1,0.71,0.292,gaussian,0.026,1920
50,1,250,100,True,1,0.447,0.285,epanechnikov,0.025,1920
51,1,250,100,True,1,0.45,0.282,triangle,0.026,1920
52,1,250,100,True,1,0.439,0.292,uniform,0.024,1920
53,1,250,100,True,1,0.45,0.283,distance_decay,0.026,1920
