,alpha,bw,cell_size,convex_hull,convex_hull_buffer,kernel,s,year
0,1,25,25,True,1,uniform,0.708,1900
1,1,25,25,True,1,gaussian,0.471,1900
2,1,25,25,True,1,triangle,0.732,1900
3,1,25,25,True,1,biweight,0.733,1900
4,1,25,25,True,1,epanechnikov,0.727,1900
5,1,50,25,True,1,uniform,0.494,1900
6,1,50,25,True,1,gaussian,0.304,1900
7,1,50,25,True,1,triangle,0.546,1900
8,1,50,25,True,1,biweight,0.549,1900
9,1,50,25,True,1,epanechnikov,0.532,1900
10,1,100,25,True,1,uniform,0.337,1900
11,1,100,25,True,1,gaussian,0.199,1900
12,1,100,25,True,1,triangle,0.347,1900
13,1,100,25,True,1,biweight,0.349,1900
14,1,100,25,True,1,epanechnikov,0.34,1900
15,1,150,25,True,1,uniform,0.264,1900
16,1,150,25,True,1,gaussian,0.143,1900
17,1,150,25,True,1,triangle,0.285,1900
18,1,150,25,True,1,biweight,0.286,1900
19,1,150,25,True,1,epanechnikov,0.279,1900
20,1,250,25,True,1,uniform,0.185,1900
21,1,250,25,True,1,gaussian,0.094,1900
22,1,250,25,True,1,triangle,0.203,1900
23,1,250,25,True,1,biweight,0.204,1900
24,1,250,25,True,1,epanechnikov,0.195,1900
25,1,25,50,True,1,uniform,0.663,1900
26,1,25,50,True,1,gaussian,0.48,1900
27,1,25,50,True,1,triangle,0.728,1900
28,1,25,50,True,1,biweight,0.731,1900
29,1,25,50,True,1,epanechnikov,0.718,1900
30,1,50,50,True,1,uniform,0.492,1900
31,1,50,50,True,1,gaussian,0.303,1900
32,1,50,50,True,1,triangle,0.557,1900
33,1,50,50,True,1,biweight,0.563,1900
34,1,50,50,True,1,epanechnikov,0.538,1900
35,1,100,50,True,1,uniform,0.327,1900
36,1,100,50,True,1,gaussian,0.199,1900
37,1,100,50,True,1,triangle,0.348,1900
38,1,100,50,True,1,biweight,0.35,1900
39,1,100,50,True,1,epanechnikov,0.344,1900
40,1,150,50,True,1,uniform,0.263,1900
41,1,150,50,True,1,gaussian,0.143,1900
42,1,150,50,True,1,triangle,0.283,1900
43,1,150,50,True,1,biweight,0.285,1900
44,1,150,50,True,1,epanechnikov,0.279,1900
45,1,250,50,True,1,uniform,0.184,1900
46,1,250,50,True,1,gaussian,0.094,1900
47,1,250,50,True,1,triangle,0.203,1900
48,1,250,50,True,1,biweight,0.204,1900
49,1,250,50,True,1,epanechnikov,0.194,1900
50,1,25,75,True,1,uniform,0.718,1900
51,1,25,75,True,1,gaussian,0.481,1900
52,1,25,75,True,1,triangle,0.665,1900
53,1,25,75,True,1,biweight,0.666,1900
54,1,25,75,True,1,epanechnikov,0.677,1900
55,1,50,75,True,1,uniform,0.508,1900
56,1,50,75,True,1,gaussian,0.311,1900
57,1,50,75,True,1,triangle,0.545,1900
58,1,50,75,True,1,biweight,0.548,1900
59,1,50,75,True,1,epanechnikov,0.535,1900
60,1,100,75,True,1,uniform,0.321,1900
61,1,100,75,True,1,gaussian,0.2,1900
62,1,100,75,True,1,triangle,0.335,1900
63,1,100,75,True,1,biweight,0.338,1900
64,1,100,75,True,1,epanechnikov,0.326,1900
65,1,150,75,True,1,uniform,0.255,1900
66,1,150,75,True,1,gaussian,0.143,1900
67,1,150,75,True,1,triangle,0.287,1900
68,1,150,75,True,1,biweight,0.288,1900
69,1,150,75,True,1,epanechnikov,0.278,1900
70,1,250,75,True,1,uniform,0.18,1900
71,1,250,75,True,1,gaussian,0.094,1900
72,1,250,75,True,1,triangle,0.203,1900
73,1,250,75,True,1,biweight,0.204,1900
74,1,250,75,True,1,epanechnikov,0.194,1900
75,1,25,25,True,1,uniform,0.867,1920
76,1,25,25,True,1,gaussian,0.708,1920
77,1,25,25,True,1,triangle,0.875,1920
78,1,25,25,True,1,biweight,0.875,1920
79,1,25,25,True,1,epanechnikov,0.871,1920
80,1,50,25,True,1,uniform,0.743,1920
81,1,50,25,True,1,gaussian,0.515,1920
82,1,50,25,True,1,triangle,0.778,1920
83,1,50,25,True,1,biweight,0.779,1920
84,1,50,25,True,1,epanechnikov,0.77,1920
85,1,100,25,True,1,uniform,0.545,1920
86,1,100,25,True,1,gaussian,0.333,1920
87,1,100,25,True,1,triangle,0.583,1920
88,1,100,25,True,1,biweight,0.586,1920
89,1,100,25,True,1,epanechnikov,0.57,1920
90,1,150,25,True,1,uniform,0.44,1920
91,1,150,25,True,1,gaussian,0.25,1920
92,1,150,25,True,1,triangle,0.474,1920
93,1,150,25,True,1,biweight,0.476,1920
94,1,150,25,True,1,epanechnikov,0.463,1920
95,1,250,25,True,1,uniform,0.308,1920
96,1,250,25,True,1,gaussian,0.181,1920
97,1,250,25,True,1,triangle,0.341,1920
98,1,250,25,True,1,biweight,0.343,1920
99,1,250,25,True,1,epanechnikov,0.331,1920
100,1,25,50,True,1,uniform,0.88,1920
101,1,25,50,True,1,gaussian,0.704,1920
102,1,25,50,True,1,triangle,0.883,1920
103,1,25,50,True,1,biweight,0.884,1920
104,1,25,50,True,1,epanechnikov,0.879,1920
105,1,50,50,True,1,uniform,0.75,1920
106,1,50,50,True,1,gaussian,0.516,1920
107,1,50,50,True,1,triangle,0.772,1920
108,1,50,50,True,1,biweight,0.773,1920
109,1,50,50,True,1,epanechnikov,0.766,1920
110,1,100,50,True,1,uniform,0.558,1920
111,1,100,50,True,1,gaussian,0.334,1920
112,1,100,50,True,1,triangle,0.587,1920
113,1,100,50,True,1,biweight,0.59,1920
114,1,100,50,True,1,epanechnikov,0.573,1920
115,1,150,50,True,1,uniform,0.44,1920
116,1,150,50,True,1,gaussian,0.252,1920
117,1,150,50,True,1,triangle,0.473,1920
118,1,150,50,True,1,biweight,0.476,1920
119,1,150,50,True,1,epanechnikov,0.462,1920
120,1,250,50,True,1,uniform,0.307,1920
121,1,250,50,True,1,gaussian,0.181,1920
122,1,250,50,True,1,triangle,0.34,1920
123,1,250,50,True,1,biweight,0.342,1920
124,1,250,50,True,1,epanechnikov,0.33,1920
125,1,25,75,True,1,uniform,0.926,1920
126,1,25,75,True,1,gaussian,0.741,1920
127,1,25,75,True,1,triangle,0.928,1920
128,1,25,75,True,1,biweight,0.928,1920
129,1,25,75,True,1,epanechnikov,0.922,1920
130,1,50,75,True,1,uniform,0.688,1920
131,1,50,75,True,1,gaussian,0.517,1920
132,1,50,75,True,1,triangle,0.697,1920
133,1,50,75,True,1,biweight,0.698,1920
134,1,50,75,True,1,epanechnikov,0.688,1920
135,1,100,75,True,1,uniform,0.513,1920
136,1,100,75,True,1,gaussian,0.334,1920
137,1,100,75,True,1,triangle,0.575,1920
138,1,100,75,True,1,biweight,0.577,1920
139,1,100,75,True,1,epanechnikov,0.557,1920
140,1,150,75,True,1,uniform,0.432,1920
141,1,150,75,True,1,gaussian,0.252,1920
142,1,150,75,True,1,triangle,0.478,1920
143,1,150,75,True,1,biweight,0.48,1920
144,1,150,75,True,1,epanechnikov,0.467,1920
145,1,250,75,True,1,uniform,0.306,1920
146,1,250,75,True,1,gaussian,0.183,1920
