,district,plot_number,estate_income,business_income,salary_pension_income
0,Valli,1,0.0,0.0,3.0
1,Valli,2,15.0,0.0,25.0
2,Valli,2,0.0,0.0,1.0
3,Valli,2,0.0,0.0,1.0
4,Valli,2,0.0,0.0,40.0
5,Valli,2,0.0,0.0,2.0
6,Valli,2,0.0,0.0,2.0
7,Valli,2,0.0,0.0,5.0
8,Valli,3,1.0,0.0,0.0
9,Valli,4,0.0,0.0,2.0
10,Valli,5,18.0,0.0,0.0
11,Valli,5,0.0,193.0,0.0
12,Valli,5,0.0,0.0,1.0
13,Valli,5,0.0,0.0,2.0
14,Valli,6,12.0,0.0,0.0
15,Valli,6,0.0,0.0,1.0
16,Valli,6,0.0,0.0,2.0
17,Valli,6,0.0,0.0,1.0
18,Valli,6,0.0,0.0,2.0
19,Valli,6,0.0,0.0,1.0
20,Valli,6,0.0,0.0,1.0
21,Valli,6,0.0,0.0,6.0
22,Valli,6,0.0,0.0,2.0
23,Valli,6,0.0,0.0,2.0
24,Valli,6,0.0,0.0,1.0
25,Valli,6,0.0,0.0,1.0
26,Valli,6,0.0,0.0,1.0
27,Valli,6,0.0,0.0,6.0
28,Valli,8,8.0,0.0,0.0
29,Valli,8,0.0,0.0,2.0
30,Valli,8,0.0,0.0,1.0
31,Valli,8,0.0,0.0,3.0
32,Valli,8,0.0,0.0,3.0
33,Valli,8,0.0,0.0,2.0
34,Valli,8,0.0,0.0,2.0
35,Valli,8,0.0,0.0,2.0
36,Valli,8,0.0,0.0,2.0
37,Valli,8,0.0,0.0,8.0
38,Valli,8,0.0,1.0,0.0
39,Valli,9,0.0,0.0,8.0
40,Valli,9,0.0,0.0,5.0
41,Valli,9,0.0,0.0,1.0
42,Valli,10,18.0,300.0,0.0
43,Valli,10,0.0,0.0,10.0
44,Valli,10,0.0,0.0,3.0
45,Valli,10,0.0,0.0,1.0
46,Valli,10,0.0,0.0,1.0
47,Valli,10,0.0,0.0,1.0
48,Valli,10,0.0,0.0,3.0
49,Valli,10,0.0,0.0,30.0
50,Valli,10,0.0,0.0,3.0
51,Valli,10,0.0,0.0,3.0
52,Valli,10,0.0,0.0,2.0
53,Valli,10,0.0,0.0,2.0
54,Valli,10,0.0,0.0,8.0
55,Valli,11,7.0,0.0,0.0
56,Valli,11,0.0,0.0,17.0
57,Valli,11,0.0,0.0,15.0
58,Valli,11,0.0,0.0,1.0
59,Valli,11,0.0,0.0,1.0
60,Valli,"12,13",12.0,0.0,10.0
61,Valli,"12,13",0.0,0.0,22.0
62,Valli,"12,13",0.0,0.0,3.0
63,Valli,"12,13",0.0,0.0,3.0
64,Valli,"12,13",0.0,0.0,2.0
65,Valli,"12,13",0.0,0.0,2.0
66,Valli,"12,13",0.0,0.0,1.0
67,Valli,14,0.0,0.0,3.0
68,Valli,14,0.0,0.0,2.0
69,Valli,14,3.0,0.0,3.0
70,Valli,15,0.0,0.0,1.0
71,Valli,15,0.0,0.0,2.0
72,Valli,15,0.0,0.0,3.0
73,Valli,"17,18",24.0,0.0,0.0
74,Valli,"17,18",0.0,0.0,62.0
75,Valli,"17,18",0.0,0.0,20.0
76,Valli,"17,18",0.0,0.0,20.0
77,Valli,"17,18",0.0,0.0,1.0
78,Valli,"17,18",0.0,120.0,0.0
79,Valli,"17,18",0.0,0.0,1.0
80,Valli,"17,18",0.0,30.0,0.0
81,Valli,"17,18",0.0,0.0,5.0
82,Valli,"17,18",0.0,0.0,3.0
83,Valli,"17,18",0.0,0.0,2.0
84,Valli,"17,18",0.0,0.0,3.0
85,Valli,"17,18",0.0,0.0,1.0
86,Valli,"17,18",0.0,0.0,2.0
87,Valli,"17,18",0.0,0.0,1.0
88,Valli,"17,18",0.0,0.0,1.0
89,Valli,"17,18",10.0,0.0,0.0
90,Valli,19,0.0,30.0,0.0
91,Valli,19,0.0,0.0,3.0
92,Valli,19,0.0,0.0,1.0
93,Valli,19,0.0,15.0,0.0
94,Valli,19,0.0,0.0,3.0
95,Valli,19,0.0,2.0,0.0
96,Valli,19,0.0,9.0,0.0
97,Valli,19,0.0,0.0,1.0
98,Valli,20,5.0,0.0,0.0
99,Valli,20,0.0,2.0,0.0
100,Valli,20,0.0,4.0,0.0
101,Valli,20,0.0,0.0,1.0
102,Valli,20,0.0,0.0,1.0
103,Valli,20,0.0,0.0,1.0
104,Valli,20,0.0,0.0,1.0
105,Valli,20,0.0,0.0,1.0
106,Valli,20,0.0,0.0,1.0
107,Valli,20,0.0,0.0,1.0
108,Valli,20,0.0,0.0,1.0
109,Valli,20,0.0,0.0,1.0
110,Valli,20,0.0,0.0,1.0
111,Valli,20,0.0,0.0,1.0
112,Valli,20,0.0,0.0,1.0
113,Valli,"21,22",10.0,146.0,0.0
114,Valli,"21,22",0.0,0.0,1.0
115,Valli,"21,22",0.0,0.0,3.0
116,Valli,"21,22",0.0,0.0,5.0
117,Valli,"21,22",0.0,0.0,2.0
118,Valli,"21,22",0.0,0.0,1.0
119,Valli,23,8.0,554.0,0.0
