,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,,16,33.0,15.0,14.0,0.0,0.0,31,47.0,46.0,31.0,1.0,0.0,0.0,0.0,0.0
1,Valli,2,,26,33.0,9.0,9.0,0.0,0.0,35,42.0,41.0,21.0,15.0,0.0,0.0,0.0,0.0
2,Valli,3,,17,25.0,15.0,9.0,0.0,0.0,32,34.0,45.0,15.0,6.0,0.0,0.0,0.0,2.0
3,Valli,4,,26,28.0,19.0,9.0,0.0,0.0,45,37.0,50.0,23.0,9.0,0.0,0.0,0.0,0.0
4,Valli,5,,11,36.0,7.0,7.0,0.0,0.0,18,43.0,31.0,25.0,5.0,0.0,0.0,0.0,0.0
5,Valli,6,,23,31.0,16.0,4.0,0.0,0.0,39,35.0,36.0,29.0,9.0,15.0,0.0,0.0,0.0
6,Valli,7,,20,29.0,19.0,13.0,0.0,0.0,39,42.0,55.0,19.0,7.0,8.0,0.0,0.0,1.0
7,Valli,8,,29,25.0,1.0,9.0,0.0,0.0,30,34.0,40.0,19.0,5.0,5.0,0.0,0.0,2.0
8,Valli,9,,26,35.0,7.0,10.0,0.0,0.0,33,45.0,44.0,25.0,9.0,20.0,0.0,0.0,2.0
9,Valli,10,,21,20.0,9.0,9.0,0.0,0.0,30,29.0,29.0,21.0,9.0,1.0,0.0,0.0,1.0
10,Valli,11,,19,25.0,13.0,8.0,0.0,0.0,32,33.0,44.0,14.0,7.0,0.0,0.0,0.0,1.0
11,Valli,12,,17,34.0,15.0,18.0,0.0,0.0,32,52.0,47.0,24.0,13.0,8.0,0.0,0.0,1.0
12,Valli,13,,17,28.0,10.0,9.0,0.0,0.0,27,37.0,25.0,32.0,7.0,0.0,0.0,0.0,0.0
13,Valli,14,,15,28.0,12.0,14.0,0.0,0.0,27,42.0,47.0,22.0,0.0,0.0,0.0,0.0,0.0
14,Valli,15,,20,32.0,11.0,13.0,0.0,0.0,31,45.0,60.0,16.0,0.0,14.0,0.0,0.0,0.0
15,Valli,16,,27,34.0,15.0,15.0,0.0,0.0,42,49.0,47.0,32.0,12.0,14.0,0.0,0.0,1.0
16,Valli,17,,21,18.0,7.0,9.0,0.0,0.0,28,27.0,22.0,13.0,20.0,0.0,0.0,0.0,0.0
17,Valli,18,,18,29.0,6.0,8.0,0.0,0.0,24,37.0,42.0,8.0,11.0,4.0,0.0,0.0,0.0
18,Valli,19,,15,40.0,12.0,9.0,0.0,0.0,27,49.0,50.0,23.0,3.0,0.0,0.0,0.0,0.0
19,Valli,20,,18,29.0,17.0,22.0,0.0,0.0,35,51.0,56.0,25.0,5.0,0.0,0.0,0.0,1.0
20,Valli,21,,24,23.0,6.0,7.0,0.0,0.0,30,30.0,34.0,17.0,9.0,8.0,0.0,0.0,1.0
21,Valli,22,,26,34.0,14.0,13.0,0.0,0.0,40,47.0,53.0,25.0,9.0,0.0,0.0,0.0,1.0
22,Valli,23,,16,36.0,11.0,12.0,0.0,0.0,27,48.0,52.0,16.0,7.0,5.0,0.0,0.0,0.0
23,Valli,24,,18,28.0,6.0,19.0,0.0,0.0,24,47.0,41.0,16.0,14.0,6.0,0.0,0.0,1.0
24,Valli,25,,24,27.0,15.0,19.0,0.0,0.0,39,46.0,60.0,23.0,2.0,7.0,0.0,0.0,1.0
25,Valli,26,,26,23.0,12.0,10.0,0.0,0.0,38,33.0,60.0,7.0,4.0,2.0,0.0,0.0,0.0
26,Valli,27,,26,32.0,11.0,14.0,0.0,0.0,37,46.0,50.0,28.0,5.0,0.0,0.0,0.0,0.0
27,Valli,28,,24,28.0,9.0,14.0,0.0,0.0,33,42.0,52.0,17.0,6.0,0.0,0.0,0.0,0.0
28,Valli,29,,19,25.0,7.0,5.0,0.0,0.0,26,30.0,38.0,12.0,6.0,6.0,0.0,0.0,3.0
29,Valli,30,,28,32.0,9.0,20.0,0.0,0.0,37,52.0,52.0,13.0,24.0,3.0,0.0,0.0,2.0
30,Valli,31,,18,26.0,13.0,14.0,0.0,0.0,31,40.0,33.0,17.0,21.0,0.0,0.0,0.0,0.0
31,Valli,32,,18,32.0,9.0,10.0,0.0,0.0,27,42.0,53.0,13.0,3.0,0.0,0.0,0.0,0.0
32,Valli,33,,22,33.0,13.0,9.0,0.0,0.0,35,42.0,43.0,31.0,3.0,2.0,0.0,0.0,0.0
33,Valli,34,,22,33.0,13.0,12.0,0.0,0.0,42,44.0,30.0,42.0,14.0,0.0,0.0,0.0,1.0
34,Valli,35,,4,6.0,3.0,3.0,0.0,0.0,7,9.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0
35,Salakkalahti,36,,12,21.0,8.0,9.0,0.0,0.0,20,30.0,31.0,17.0,2.0,0.0,0.0,0.0,1.0
36,Salakkalahti,37,,14,37.0,18.0,14.0,0.0,0.0,32,51.0,47.0,32.0,4.0,0.0,0.0,0.0,0.0
