,year,kernel,bw,cell_size,s,exposure,isolation,km,information
1,1880,biweight,25,25,0.792,0.016,0.308,0.229,0.114
2,1880,epanechnikov,25,25,0.787,0.015,0.304,0.227,0.112
3,1880,gaussian,25,25,0.615,0.811,0.282,0.155,0.053
4,1880,triangle,25,25,0.792,0.015,0.309,0.227,0.113
5,1880,uniform,25,25,0.769,0.014,0.287,0.215,0.103
6,1880,biweight,25,50,0.758,0.001,0.249,0.279,0.13
7,1880,epanechnikov,25,50,0.749,0.001,0.251,0.273,0.127
8,1880,gaussian,25,50,0.613,0.838,0.255,0.154,0.054
9,1880,triangle,25,50,0.758,0.001,0.25,0.276,0.129
10,1880,uniform,25,50,0.717,0.01,0.247,0.225,0.1
11,1880,biweight,25,75,0.777,0.0,0.271,0.184,0.094
12,1880,epanechnikov,25,75,0.775,0.0,0.256,0.184,0.093
13,1880,gaussian,25,75,0.593,0.889,0.184,0.143,0.047
14,1880,triangle,25,75,0.778,0.0,0.274,0.182,0.093
15,1880,uniform,25,75,0.777,0.0,0.224,0.165,0.078
16,1880,biweight,50,25,0.679,0.223,0.286,0.179,0.07
17,1880,epanechnikov,50,25,0.666,0.221,0.284,0.174,0.067
18,1880,gaussian,50,25,0.466,0.813,0.275,0.106,0.026
19,1880,triangle,50,25,0.677,0.222,0.286,0.178,0.069
20,1880,uniform,50,25,0.624,0.22,0.275,0.16,0.058
21,1880,biweight,50,50,0.674,0.113,0.31,0.179,0.071
22,1880,epanechnikov,50,50,0.657,0.11,0.306,0.177,0.068
23,1880,gaussian,50,50,0.469,0.689,0.295,0.107,0.027
24,1880,triangle,50,50,0.671,0.114,0.308,0.177,0.07
25,1880,uniform,50,50,0.601,0.115,0.287,0.161,0.057
26,1880,biweight,50,75,0.675,0.1,0.286,0.182,0.073
27,1880,epanechnikov,50,75,0.665,0.104,0.28,0.177,0.069
28,1880,gaussian,50,75,0.463,0.717,0.267,0.106,0.026
29,1880,triangle,50,75,0.674,0.099,0.285,0.181,0.072
30,1880,uniform,50,75,0.588,0.093,0.251,0.151,0.052
31,1880,biweight,100,25,0.516,0.423,0.276,0.121,0.034
32,1880,epanechnikov,100,25,0.505,0.42,0.275,0.117,0.032
33,1880,gaussian,100,25,0.317,0.777,0.288,0.066,0.011
34,1880,triangle,100,25,0.515,0.422,0.276,0.121,0.034
35,1880,uniform,100,25,0.468,0.405,0.273,0.106,0.028
36,1880,biweight,100,50,0.52,0.148,0.296,0.123,0.034
37,1880,epanechnikov,100,50,0.508,0.149,0.296,0.119,0.032
38,1880,gaussian,100,50,0.319,0.691,0.303,0.067,0.011
39,1880,triangle,100,50,0.518,0.149,0.296,0.122,0.034
40,1880,uniform,100,50,0.467,0.145,0.298,0.109,0.028
41,1880,biweight,100,75,0.516,0.438,0.181,0.121,0.033
42,1880,epanechnikov,100,75,0.503,0.429,0.182,0.117,0.032
43,1880,gaussian,100,75,0.315,0.841,0.218,0.066,0.011
44,1880,triangle,100,75,0.514,0.44,0.182,0.12,0.033
45,1880,uniform,100,75,0.463,0.432,0.186,0.102,0.028
46,1880,biweight,150,25,0.437,0.472,0.275,0.097,0.024
47,1880,epanechnikov,150,25,0.425,0.468,0.276,0.094,0.022
48,1880,gaussian,150,25,0.22,0.73,0.314,0.044,0.005
49,1880,triangle,150,25,0.436,0.471,0.276,0.097,0.023
50,1880,uniform,150,25,0.393,0.449,0.28,0.085,0.02
51,1880,biweight,150,50,0.436,0.172,0.295,0.097,0.024
52,1880,epanechnikov,150,50,0.423,0.173,0.295,0.094,0.022
53,1880,gaussian,150,50,0.221,0.673,0.325,0.044,0.005
54,1880,triangle,150,50,0.434,0.172,0.295,0.097,0.023
55,1880,uniform,150,50,0.395,0.179,0.295,0.086,0.02
56,1880,biweight,150,75,0.434,0.48,0.244,0.096,0.024
57,1880,epanechnikov,150,75,0.421,0.48,0.245,0.093,0.022
58,1880,gaussian,150,75,0.222,0.707,0.293,0.044,0.005
59,1880,triangle,150,75,0.432,0.48,0.244,0.096,0.023
60,1880,uniform,150,75,0.389,0.476,0.252,0.085,0.021
61,1880,biweight,250,25,0.327,0.379,0.286,0.068,0.013
62,1880,epanechnikov,250,25,0.311,0.376,0.289,0.064,0.012
63,1880,gaussian,250,25,0.117,0.655,0.366,0.022,0.001
64,1880,triangle,250,25,0.325,0.378,0.286,0.068,0.013
65,1880,uniform,250,25,0.275,0.368,0.302,0.056,0.01
66,1880,biweight,250,50,0.326,0.244,0.301,0.068,0.013
67,1880,epanechnikov,250,50,0.311,0.249,0.303,0.064,0.012
68,1880,gaussian,250,50,0.118,0.628,0.372,0.022,0.001
69,1880,triangle,250,50,0.325,0.245,0.301,0.067,0.013
70,1880,uniform,250,50,0.274,0.267,0.314,0.055,0.01
71,1880,biweight,250,75,0.325,0.369,0.215,0.068,0.013
72,1880,epanechnikov,250,75,0.31,0.367,0.22,0.064,0.012
73,1880,gaussian,250,75,0.118,0.694,0.322,0.022,0.001
74,1880,triangle,250,75,0.324,0.369,0.216,0.067,0.013
75,1880,uniform,250,75,0.268,0.356,0.239,0.054,0.01
76,1900,biweight,25,25,0.733,0.07,0.311,0.156,0.072
77,1900,epanechnikov,25,25,0.727,0.073,0.306,0.155,0.072
78,1900,gaussian,25,25,0.471,0.704,0.299,0.083,0.022
79,1900,triangle,25,25,0.732,0.071,0.311,0.155,0.072
80,1900,uniform,25,25,0.708,0.085,0.287,0.146,0.065
81,1900,biweight,25,50,0.731,0.082,0.205,0.176,0.074
82,1900,epanechnikov,25,50,0.718,0.085,0.212,0.172,0.071
83,1900,gaussian,25,50,0.48,0.856,0.249,0.085,0.022
84,1900,triangle,25,50,0.728,0.082,0.206,0.175,0.073
85,1900,uniform,25,50,0.663,0.085,0.242,0.146,0.058
86,1900,biweight,25,75,0.666,0.034,0.245,0.096,0.056
87,1900,epanechnikov,25,75,0.677,0.033,0.25,0.107,0.062
88,1900,gaussian,25,75,0.481,0.721,0.28,0.083,0.024
89,1900,triangle,25,75,0.665,0.033,0.245,0.097,0.056
90,1900,uniform,25,75,0.718,0.057,0.286,0.136,0.071
91,1900,biweight,50,25,0.549,0.132,0.302,0.101,0.034
92,1900,epanechnikov,50,25,0.532,0.134,0.301,0.097,0.032
93,1900,gaussian,50,25,0.304,0.704,0.296,0.048,0.008
94,1900,triangle,50,25,0.546,0.132,0.302,0.1,0.034
95,1900,uniform,50,25,0.494,0.136,0.292,0.088,0.027
96,1900,biweight,50,50,0.563,0.123,0.281,0.105,0.037
97,1900,epanechnikov,50,50,0.538,0.124,0.279,0.1,0.033
98,1900,gaussian,50,50,0.303,0.723,0.276,0.048,0.008
99,1900,triangle,50,50,0.557,0.124,0.279,0.103,0.036
100,1900,uniform,50,50,0.492,0.133,0.265,0.088,0.025
101,1900,biweight,50,75,0.548,0.155,0.292,0.102,0.034
102,1900,epanechnikov,50,75,0.535,0.152,0.276,0.099,0.032
103,1900,gaussian,50,75,0.311,0.738,0.261,0.049,0.008
104,1900,triangle,50,75,0.545,0.154,0.291,0.101,0.033
105,1900,uniform,50,75,0.508,0.138,0.248,0.092,0.028
106,1900,biweight,100,25,0.349,0.163,0.294,0.056,0.012
107,1900,epanechnikov,100,25,0.34,0.163,0.294,0.055,0.011
108,1900,gaussian,100,25,0.199,0.696,0.303,0.03,0.003
109,1900,triangle,100,25,0.347,0.163,0.294,0.056,0.012
110,1900,uniform,100,25,0.337,0.161,0.293,0.054,0.012
111,1900,biweight,100,50,0.35,0.159,0.275,0.057,0.012
112,1900,epanechnikov,100,50,0.344,0.159,0.275,0.056,0.011
113,1900,gaussian,100,50,0.199,0.714,0.285,0.03,0.003
114,1900,triangle,100,50,0.348,0.159,0.274,0.056,0.012
115,1900,uniform,100,50,0.327,0.154,0.274,0.053,0.011
116,1900,biweight,100,75,0.338,0.113,0.295,0.054,0.011
117,1900,epanechnikov,100,75,0.326,0.113,0.295,0.052,0.01
118,1900,gaussian,100,75,0.2,0.699,0.3,0.03,0.003
119,1900,triangle,100,75,0.335,0.113,0.294,0.054,0.011
120,1900,uniform,100,75,0.321,0.114,0.271,0.052,0.01
121,1900,biweight,150,25,0.286,0.177,0.294,0.045,0.007
122,1900,epanechnikov,150,25,0.279,0.177,0.294,0.043,0.007
123,1900,gaussian,150,25,0.143,0.68,0.32,0.021,0.002
124,1900,triangle,150,25,0.285,0.177,0.294,0.044,0.007
125,1900,uniform,150,25,0.264,0.179,0.295,0.04,0.007
126,1900,biweight,150,50,0.285,0.189,0.275,0.044,0.008
127,1900,epanechnikov,150,50,0.279,0.189,0.275,0.043,0.007
128,1900,gaussian,150,50,0.143,0.696,0.303,0.021,0.002
129,1900,triangle,150,50,0.283,0.189,0.275,0.044,0.007
130,1900,uniform,150,50,0.263,0.189,0.275,0.041,0.007
131,1900,biweight,150,75,0.288,0.61,0.24,0.045,0.007
132,1900,epanechnikov,150,75,0.278,0.606,0.241,0.043,0.007
133,1900,gaussian,150,75,0.143,0.719,0.28,0.021,0.002
134,1900,triangle,150,75,0.287,0.61,0.24,0.045,0.007
135,1900,uniform,150,75,0.255,0.598,0.247,0.038,0.007
136,1900,biweight,250,25,0.204,0.215,0.299,0.03,0.004
137,1900,epanechnikov,250,25,0.195,0.218,0.301,0.029,0.004
138,1900,gaussian,250,25,0.094,0.638,0.363,0.013,0.001
139,1900,triangle,250,25,0.203,0.216,0.3,0.03,0.004
140,1900,uniform,250,25,0.185,0.234,0.307,0.027,0.004
141,1900,biweight,250,50,0.204,0.208,0.282,0.03,0.004
142,1900,epanechnikov,250,50,0.194,0.211,0.284,0.029,0.004
143,1900,gaussian,250,50,0.094,0.652,0.349,0.013,0.001
144,1900,triangle,250,50,0.203,0.208,0.282,0.03,0.004
145,1900,uniform,250,50,0.184,0.226,0.291,0.027,0.004
