,,S
Valli,3,0.00328
Valli,8,0.00341
Valli,11,0.00097
Valli,15,0.00061
Valli,19,-0.00429
Valli,21,-0.00193
Valli,24,0.00174
Valli,26,-6e-05
Valli,31,-0.00189
Valli,34,0.00347
Valli,36,-0.00537
Valli,39,0.00294
Valli,45,-0.00253
Valli,49,-0.00205
Valli,52,0.00291
Valli,56,0.00215
Valli,60,-0.00324
Valli,63,-0.0007
Valli,65,-0.0007
Valli,68,-0.00262
Valli,109,-0.0048
Valli,113,-0.00455
Valli,116,-0.00326
Valli,117,-0.00329
Valli,71,0.00214
Valli,75,-0.00292
Valli,82,-0.00259
Valli,88,-0.00048
Valli,92,-0.00613
Valli,96,-0.00316
Valli,106,-0.00435
Valli,102,-0.00385
Valli,120,-0.00303
Valli,124,-7e-05
Valli,128,-0.00544
Valli,131,-0.00137
Valli,136,0.00216
Valli,154,-0.00132
Valli,166,0.00365
P_Annan_kruunu,1,-0.00113
P_Annan_kruunu,81,-0.00103
Viipurin_esikaupunki,3,-0.00182
Viipurin_esikaupunki,8,0.00085
Viipurin_esikaupunki,17,0.00128
Viipurin_esikaupunki,27,-0.00147
Viipurin_esikaupunki,37,0.00126
Viipurin_esikaupunki,49,0.0007
Viipurin_esikaupunki,57,-0.00299
Viipurin_esikaupunki,68,-0.00198
Viipurin_esikaupunki,81,-0.00395
Viipurin_esikaupunki,91,-0.0029
Viipurin_esikaupunki,102,-0.00301
Viipurin_esikaupunki,110,-0.00293
Viipurin_esikaupunki,122,-0.00027
Viipurin_esikaupunki,139,0.00089
P_Annan_kruunu,72,-0.00058
Salakkalahti,3,0.00434
Salakkalahti,6,0.00484
Salakkalahti,8,0.00574
Salakkalahti,11,-0.00211
Salakkalahti,13,0.00327
Salakkalahti,15,0.00366
Salakkalahti,17,0.00098
Repola,2,-0.00978
Repola,13,-0.00134
Repola,17,-0.00408
Repola,30,-0.00822
Repola,84,0.00179
Pantsarlahti,19,0.00394
Pantsarlahti,25,0.00864
Pantsarlahti,27,0.0043
Pantsarlahti,34,0.00437
Pantsarlahti,39,0.00451
Pantsarlahti,45,0.00372
Pantsarlahti,49,0.0036
Pantsarlahti,54,0.0031
Pantsarlahti,61,0.0043
Pantsarlahti,66,0.00444
Pantsarlahti,71,0.00219
Pantsarlahti,77,0.00405
Pantsarlahti,83,-0.00361
Pantsarlahti,92,0.00435
Pantsarlahti,98,0.00358
Anina,37,0.00218
Anina,59,-0.00026
Anina,66,0.00371
Anina,76,0.00073
Anina,85,-0.00229
Anina,108,-0.00504
Anina,120,0.00168
Papula,8,0.00443
Papula,18,0.002
Papula,32,0.00209
Saunalahti,3,-0.0015
Saunalahti,16,-0.00122
Pietarin_esikaupunki,8,0.00256
Pietarin_esikaupunki,13,-0.00085
Pietarin_esikaupunki,16,-0.00846
Pietarin_esikaupunki,22,0.0026
Pietarin_esikaupunki,36,-6e-05
Pietarin_esikaupunki,48,0.00171
Pietarin_esikaupunki,53,-0.00191
Pietarin_esikaupunki,62,0.00123
Pietarin_esikaupunki,70,-0.00064
Pietarin_esikaupunki,78,-0.00418
Pietarin_esikaupunki,87,-0.00172
Pietarin_esikaupunki,98,-0.01052
Pietarin_esikaupunki,107,-0.00437
Pietarin_esikaupunki,118,0.00302
Pietarin_esikaupunki,127,-0.00222
Pietarin_esikaupunki,137,-0.00301
Pietarin_esikaupunki,141,-0.00034
Pietarin_esikaupunki,151,-0.00394
Pietarin_esikaupunki,161,-0.00212
Pietarin_esikaupunki,167,-0.00118
Pietarin_esikaupunki,173,-0.00113
Pietarin_esikaupunki,177,-0.00392
Pietarin_esikaupunki,183,-0.00257
Pietarin_esikaupunki,191,-0.00127
Pietarin_esikaupunki,192,-0.00335
Pietarin_esikaupunki,201,-0.00349
Pietarin_esikaupunki,208,-0.0012
Pietarin_esikaupunki,214,-0.00705
Pietarin_esikaupunki,221,0.00242
Pietarin_esikaupunki,226,-0.00152
Pietarin_esikaupunki,230,-0.00419
Pietarin_esikaupunki,234,-0.00424
Pietarin_esikaupunki,241,-0.00225
Pietarin_esikaupunki,255,0.00016
Pietarin_esikaupunki,261,-0.00166
Pietarin_esikaupunki,269,-0.00357
Pietarin_esikaupunki,276,-0.00161
