,,S
Valli,1,0.00093
Valli,2,-0.00724
Valli,5,0.00163
Valli,6,-0.01924
Valli,7,0.00074
Valli,8,0.00207
Valli,9,0.00181
Valli,10,0.00133
Valli,11,0.00087
Valli,14,0.00076
Valli,15,-7e-05
Valli,19,-0.00562
Valli,20,-0.00082
Valli,23,-0.00088
Valli,24,-0.00219
Valli,25,0.01287
Valli,26,-0.00485
Valli,27,-0.0005
Valli,28,-0.01086
Valli,29,-0.00311
Valli,31,0.00069
Valli,33,-0.00166
Valli,35,-0.00673
Valli,36,-0.00762
Valli,37,-0.00821
Valli,38,-0.00073
Valli,39,0.0001
Valli,40,0.0017
Valli,42,0.0001
Valli,44,-0.00012
Valli,45,-0.00129
Valli,46,-0.00419
Valli,47,-0.00514
Valli,49,-0.00137
Valli,50,-0.00115
Valli,51,0.00188
Valli,52,0.00194
Valli,53,0.00536
Valli,54,0.00689
Valli,55,0.00108
Valli,56,0.00126
Valli,57,0.00221
Valli,59,0.00099
Valli,60,0.00323
Valli,61,-0.00272
Valli,63,0.00079
Valli,64,0.00299
Valli,65,0.00065
Valli,68,0.00045
Valli,69,0.00141
Valli,70,0.00468
Valli,66,-4e-05
Valli,67,-0.0004
Valli,108,-0.00234
Valli,109,-0.00074
Valli,111,-0.03457
Valli,113,-0.00139
Valli,114,-0.00293
Valli,116,-0.00812
Valli,71,-0.00787
Valli,72,0.00766
Valli,73,0.00082
Valli,74,0.00433
Valli,75,0.00466
Valli,76,0.00093
Valli,77,0.00089
Valli,79,0.0014
Valli,80,0.00013
Valli,81,-0.0022
Valli,82,-0.00304
Valli,83,0.00053
Valli,85,-0.00198
Valli,86,-0.00082
Valli,87,-0.00203
Valli,88,-0.00111
Valli,89,0.00309
Valli,90,0.00083
Valli,92,3e-05
Valli,93,-0.00251
Valli,94,-0.01441
Valli,96,-0.00173
Valli,97,-0.00055
Valli,99,-0.00195
Valli,104,-0.00911
Valli,106,-0.0014
Valli,102,-0.00476
Valli,118,-0.0068
Valli,119,-0.0019
Valli,120,-0.00746
Valli,121,-0.00086
Valli,122,0.00651
Valli,123,0.0132
Valli,124,0.00202
Valli,125,-0.00478
Valli,126,-0.00311
Valli,127,-0.00068
Valli,128,7e-05
Valli,129,-0.00359
Valli,130,0.00121
Valli,131,0.00157
Valli,133,0.00112
Valli,134,0.00266
Valli,136,-0.00418
Valli,138,-0.00072
Valli_uusi,143,-0.01764
Valli_uusi,149,0.00226
Valli_uusi,151,-0.00035
Valli_uusi,152,-0.02461
Valli_uusi,153,-0.01397
Valli_uusi,162,-0.00169
Valli_uusi,163,0.00111
Valli_uusi,167,-0.00897
Valli_uusi,168,-0.00048
Valli_uusi,173,0.00654
Valli_uusi,175,0.00043
Valli_uusi,176,-6e-05
Valli_uusi,178,-0.00763
