,150,200,250,D
1880,0.499342927458303,0.4459583702739607,0.4056365234878577,0.10839808566128036
1885,0.5585281449460935,0.5165136318490063,0.48561580562183015,0.12230701421703792
1888,0.45245087932812256,0.4036893986371396,0.37000779252461746,0.084222655586479
1890,0.4541323344145137,0.40092819811876634,0.36587043153051835,0.08634258410496524
1895,0.4739446895220861,0.4277484796317069,0.38929828819131196,0.11348574439988549
1900,0.4424212913539862,0.39344548060114903,0.3633817813874457,0.09236229810047648
1902,0.4418808601808716,0.3954490643941706,0.3716084529231716,0.10260860843531582
1905,0.42862583024295253,0.3751773699830848,0.33530327118286163,0.06858688490080986
1910,0.4331586146218446,0.3686408902172261,0.32655695102281446,0.06697218778649891
1913,0.4989922798862746,0.4557314512725419,0.4234619862650445,0.13101060620007568
1915,0.5236153916257402,0.4938147240198677,0.46889590401564407,0.14127141840900653
