,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.6172879032050367,0.532483396759862,0.08480450644517468,100,25,Martin_et_al_2000,even
1,0.614112491382955,0.5313483747302133,0.08276411665274164,100,25,triangle,even
2,0.5833839398126595,0.5096750778959923,0.07370886191666715,100,25,box,even
3,0.6177351772321598,0.532172736172301,0.08556244105985877,100,50,Martin_et_al_2000,even
4,0.614509067870961,0.5311780604469969,0.08333100742396415,100,50,triangle,even
5,0.5857438548661924,0.5078695140651004,0.07787434080109201,100,50,box,even
6,0.4825546010755093,0.4706832162002903,0.011871384875218993,150,25,Martin_et_al_2000,even
7,0.4793875772748103,0.46888338098485616,0.010504196289954137,150,25,triangle,even
8,0.4421965724444742,0.43534466488888335,0.0068519075555908415,150,25,box,even
9,0.48235198610896546,0.4708035727913453,0.011548413317620132,150,50,Martin_et_al_2000,even
10,0.4791489728153955,0.4690190560283576,0.010129916787037896,150,50,triangle,even
11,0.44049812045910886,0.43409487058645735,0.006403249872651506,150,50,box,even
12,0.4050763717097886,0.41559592845394255,-0.010519556744153946,200,25,Martin_et_al_2000,even
13,0.40352067460060326,0.4136570872344022,-0.010136412633798941,200,25,triangle,even
14,0.36834695195288314,0.375930765798269,-0.007583813845385867,200,25,box,even
15,0.40500554760387786,0.4155519977938178,-0.010546450189939938,200,50,Martin_et_al_2000,even
16,0.40341761466857784,0.4135765063020186,-0.010158891633440748,200,50,triangle,even
17,0.3697749226211241,0.3763691051429916,-0.006594182521867498,200,50,box,even
18,0.3562904000663586,0.3720198932941938,-0.015729493227835234,250,25,Martin_et_al_2000,even
19,0.3544995421485262,0.3702584679069816,-0.01575892575845539,250,25,triangle,even
20,0.31652226459563093,0.3277381319236431,-0.011215867328012163,250,25,box,even
21,0.35651333115728,0.37202302167964174,-0.01550969052236173,250,50,Martin_et_al_2000,even
22,0.3546680080211515,0.3702409759505283,-0.01557296792937679,250,50,triangle,even
23,0.3166998120024239,0.3276459686570774,-0.010946156654653483,250,50,box,even
24,0.31993989523518884,0.336884536034429,-0.016944640799240185,300,25,Martin_et_al_2000,even
25,0.31828371097329966,0.33510263728389766,-0.016818926310598004,300,25,triangle,even
26,0.2786028698083818,0.2899555505391812,-0.011352680730799425,300,25,box,even
27,0.3199732436410405,0.3368426869802975,-0.016869443339256995,300,50,Martin_et_al_2000,even
28,0.3183822649754582,0.33504883641235217,-0.016666571436893984,300,50,triangle,even
29,0.2788970442926847,0.28978154387881816,-0.010884499586133467,300,50,box,even
30,0.2629546655865196,0.28048917104150617,-0.017534505454986582,400,25,Martin_et_al_2000,even
31,0.26138407459954494,0.2787702028631317,-0.017386128263586764,400,25,triangle,even
32,0.21875572443611302,0.23704830088088458,-0.018292576444771558,400,25,box,even
33,0.26301304486232246,0.28047078206063025,-0.017457737198307788,400,50,Martin_et_al_2000,even
34,0.26142442370755303,0.2787447525506441,-0.017320328843091093,400,50,triangle,even
