,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.6242340962854696,0.5226751456912543,0.10155895059421527,100,25,Martin_et_al_2000,even
1,0.6215319142655225,0.5213490665018026,0.10018284776371988,100,25,triangle,even
2,0.5969185975191296,0.49365150641206335,0.10326709110706622,100,25,box,even
3,0.6228056973237879,0.522445334176809,0.10036036314697883,100,50,Martin_et_al_2000,even
4,0.6203099680251818,0.5212143194880294,0.09909564853715236,100,50,triangle,even
5,0.5942788544197009,0.4928326404039296,0.10144621401577125,100,50,box,even
6,0.501359056314218,0.45074464300211636,0.05061441331210159,150,25,Martin_et_al_2000,even
7,0.49855800625739144,0.4488023580470307,0.049755648210360715,150,25,triangle,even
8,0.46502829278884517,0.4143461062638698,0.05068218652497536,150,25,box,even
9,0.5012818559129841,0.4504031740672536,0.05087868184573052,150,50,Martin_et_al_2000,even
10,0.4986342846420888,0.44832939579009357,0.050304888851995244,150,50,triangle,even
11,0.4645791740180345,0.41253281404215647,0.05204635997587803,150,50,box,even
12,0.4300572866343163,0.39065074969472535,0.03940653693959095,200,25,Martin_et_al_2000,even
13,0.4284293659682662,0.38866498216434264,0.03976438380392355,200,25,triangle,even
14,0.39231807803400676,0.35110661234371,0.04121146569029677,200,25,box,even
15,0.4302344320727248,0.39039026601626503,0.039844166056459795,200,50,Martin_et_al_2000,even
16,0.42847664529529605,0.38830446060171075,0.0401721846935853,200,50,triangle,even
17,0.3922912095022165,0.35005459785078474,0.04223661165143178,200,50,box,even
18,0.3813672538016497,0.3442343830967759,0.03713287070487381,250,25,Martin_et_al_2000,even
19,0.37942351257439366,0.34236810374923865,0.03705540882515501,250,25,triangle,even
20,0.33742109008196464,0.3004672627843279,0.03695382729763674,250,25,box,even
21,0.38133190944459616,0.34415302495151867,0.03717888449307749,250,50,Martin_et_al_2000,even
22,0.3793408546368682,0.3422697523636945,0.03707110227317367,250,50,triangle,even
23,0.33517392090975995,0.2988774176050579,0.03629650330470202,250,50,box,even
24,0.34121085987014077,0.3061577703678571,0.035053089502283696,300,25,Martin_et_al_2000,even
25,0.33946699763755195,0.304201492808333,0.035265504829218974,300,25,triangle,even
26,0.29772022258868036,0.2639210725901272,0.03379914999855316,300,25,box,even
27,0.34120511762934413,0.3060888798548741,0.03511623777447004,300,50,Martin_et_al_2000,even
28,0.33944821322775387,0.30407454456029503,0.035373668667458835,300,50,triangle,even
29,0.29713176122404295,0.26321801137378587,0.03391374985025708,300,50,box,even
30,0.27855749797081986,0.24869229580425012,0.029865202166569738,400,25,Martin_et_al_2000,even
31,0.27681356717791816,0.2471714588943389,0.02964210828357927,400,25,triangle,even
32,0.2394139925874712,0.21628814234458604,0.02312585024288516,400,25,box,even
33,0.27852206306023164,0.24874553676588773,0.029776526294343908,400,50,Martin_et_al_2000,even
34,0.27680336002105166,0.24721113947918183,0.02959222054186983,400,50,triangle,even
35,0.23871338963332878,0.21594240771581674,0.022770981917512034,400,50,box,even
36,0.23352310266885667,0.21195192196258794,0.021571180706268733,500,25,Martin_et_al_2000,even
37,0.23172796445414168,0.210690899123256,0.021037065330885674,500,25,triangle,even
38,0.19599902373376044,0.18408466782775534,0.011914355906005092,500,25,box,even
39,0.2335432401918498,0.21190296679882348,0.02164027339302632,500,50,Martin_et_al_2000,even
40,0.2317409843750754,0.21066899313373855,0.02107199124133685,500,50,triangle,even
41,0.19564637695037146,0.1836931893879694,0.011953187562402046,500,50,box,even
42,0.6130982675528827,0.5261712445574163,0.0869270229954664,100,25,Martin_et_al_2000,even
43,0.6100489937887924,0.5247587856639595,0.0852902081248329,100,25,triangle,even
44,0.5815856436685538,0.49697216240080855,0.08461348126774526,100,25,box,even
45,0.6135013877351765,0.527497309390357,0.08600407834481949,100,50,Martin_et_al_2000,even
46,0.6105603391130301,0.5260728594884199,0.08448747962461023,100,50,triangle,even
47,0.5817228364827035,0.4943815346849919,0.0873413017977116,100,50,box,even
48,0.47181208936398056,0.44745053970121107,0.02436154966276949,150,25,Martin_et_al_2000,even
49,0.46857065589530467,0.4452136296090705,0.02335702628623415,150,25,triangle,even
50,0.4311347238497396,0.40407670861332345,0.027058015236416155,150,25,box,even
51,0.4717822968747213,0.4475169619116608,0.024265334963060492,150,50,Martin_et_al_2000,even
52,0.46861683524661135,0.4452789193826959,0.023337915863915426,150,50,triangle,even
53,0.4324189660158735,0.40652785634701105,0.025891109668862433,150,50,box,even
54,0.38857323992491255,0.37828649894751987,0.010286740977392683,200,25,Martin_et_al_2000,even
55,0.3868700173856715,0.37603026246705196,0.010839754918619549,200,25,triangle,even
56,0.35125266180120107,0.33555966656785774,0.015692995233343332,200,25,box,even
57,0.38854601173615755,0.3784673619720591,0.010078649764098446,200,50,Martin_et_al_2000,even
58,0.38697804074035824,0.3761492883508327,0.01082875238952552,200,50,triangle,even
