,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.5857496451428024,0.6015758626565886,-0.01582621751378621,100,25,Martin_et_al_2000,even
1,0.5828640109618135,0.5994747745299052,-0.016610763568091658,100,25,triangle,even
2,0.5551315245918294,0.5565892338976941,-0.0014577093058647517,100,25,box,even
3,0.586641649925274,0.6019322327135177,-0.01529058278824369,100,50,Martin_et_al_2000,even
4,0.5846680197236693,0.5999907027577134,-0.015322683034044049,100,50,triangle,even
5,0.5572916876255162,0.5570648316969967,0.0002268559285194538,100,50,box,even
6,0.45447559475181243,0.49828208143155417,-0.04380648667974174,150,25,Martin_et_al_2000,even
7,0.4515815534127796,0.4956093059586397,-0.04402775254586011,150,25,triangle,even
8,0.4144627013647636,0.44441617079167584,-0.029953469426912238,150,25,box,even
9,0.45501012927810536,0.4980575017734097,-0.043047372495304326,150,50,Martin_et_al_2000,even
10,0.4523707994711472,0.49550627810870307,-0.043135478637555846,150,50,triangle,even
11,0.41592764984104735,0.4438297006050097,-0.02790205076396235,150,50,box,even
12,0.3747257029917336,0.41408678395710663,-0.03936108096537305,200,25,Martin_et_al_2000,even
13,0.37291824723851463,0.41143433670133467,-0.038516089462820036,200,25,triangle,even
14,0.3349545633769968,0.3611861626453913,-0.026231599268394468,200,25,box,even
15,0.3750671050314104,0.4141970206075615,-0.039129915576151086,200,50,Martin_et_al_2000,even
16,0.37334333610139303,0.4116423038255552,-0.03829896772416219,200,50,triangle,even
17,0.333483074067658,0.36179067051938885,-0.028307596451730865,200,50,box,even
18,0.32019586930104793,0.3499883201074271,-0.029792450806379156,250,25,Martin_et_al_2000,even
19,0.3186511130698285,0.347344298747736,-0.028693185677907462,250,25,triangle,even
20,0.2847528498270897,0.2929785112214569,-0.0082256613943672,250,25,box,even
21,0.32020234733448194,0.34988351206248725,-0.029681164728005305,250,50,Martin_et_al_2000,even
22,0.31864134884924555,0.3472024897313081,-0.02856114088206252,250,50,triangle,even
23,0.28408453960378777,0.29332522445972287,-0.0092406848559351,250,50,box,even
24,0.5743139645261615,0.5895238353976651,-0.015209870871503606,100,25,Martin_et_al_2000,even
25,0.5716236172450402,0.5879255809741138,-0.016301963729073665,100,25,triangle,even
26,0.5465640162362398,0.5569605682964028,-0.010396552060162989,100,25,box,even
27,0.5739928572498336,0.5890987503700651,-0.015105893120231473,100,50,Martin_et_al_2000,even
28,0.5713253281484616,0.5872842572237131,-0.015958929075251538,100,50,triangle,even
29,0.5483350587256096,0.554559215266025,-0.006224156540415415,100,50,box,even
30,0.45058019334269883,0.5007365861554448,-0.050156392812745976,150,25,Martin_et_al_2000,even
31,0.4480481568730351,0.49833838547077913,-0.05029022859774401,150,25,triangle,even
32,0.41400250613184586,0.4525762294472927,-0.03857372331544684,150,25,box,even
33,0.45112471816961697,0.5004497910415298,-0.04932507287191279,150,50,Martin_et_al_2000,even
34,0.44853529654916346,0.49809384129090273,-0.04955854474173926,150,50,triangle,even
35,0.41306311017332253,0.4538394554587605,-0.04077634528543794,150,50,box,even
36,0.37688929766799173,0.421793655627265,-0.04490435795927328,200,25,Martin_et_al_2000,even
