,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.5955612163190275,0.5094925701792955,0.08606864613973197,100,25,Martin_et_al_2000,even
1,0.5924801947358449,0.5078750103788309,0.08460518435701403,100,25,triangle,even
2,0.5644702606716969,0.4769984603466434,0.08747180032505353,100,25,box,even
3,0.5937427203644448,0.5093768303521786,0.08436589001226613,100,50,Martin_et_al_2000,even
4,0.590242257057477,0.5077397701668209,0.08250248689065609,100,50,triangle,even
5,0.5671913620084388,0.47882833104004907,0.08836303096838971,100,50,box,even
6,0.46552841872292483,0.4283940942579577,0.03713432446496712,150,25,Martin_et_al_2000,even
7,0.4624554947075201,0.4261975818806699,0.0362579128268502,150,25,triangle,even
8,0.41627458914557813,0.38534442482812925,0.030930164317448883,150,25,box,even
9,0.46535344823226776,0.42851583919619074,0.036837609036077024,150,50,Martin_et_al_2000,even
10,0.46218939795035474,0.42626732266067935,0.03592207528967539,150,50,triangle,even
11,0.41579624194166753,0.3867268961466923,0.02906934579497522,150,50,box,even
12,0.3781417896554442,0.3632391277130982,0.014902661942346018,200,25,Martin_et_al_2000,even
13,0.3760109859570113,0.36117413102698803,0.014836854930023291,200,25,triangle,even
14,0.3295517730278824,0.3173553908656932,0.012196382162189212,200,25,box,even
15,0.378392179126116,0.36325581463881185,0.015136364487304155,200,50,Martin_et_al_2000,even
16,0.37625636684032815,0.36126028459431636,0.014996082246011788,200,50,triangle,even
17,0.3298582381619568,0.3162072708812017,0.0136509672807551,200,50,box,even
18,0.31632540142772947,0.3144772389181203,0.0018481625096091747,250,25,Martin_et_al_2000,even
19,0.3144095301486848,0.3126279240739904,0.001781606074694353,250,25,triangle,even
20,0.2747365064811085,0.2723909801627027,0.0023455263184057884,250,25,box,even
21,0.31625022141530756,0.31440506041725647,0.0018451609980510986,250,50,Martin_et_al_2000,even
22,0.3142832255414706,0.3125385179502589,0.0017447075912117027,250,50,triangle,even
23,0.2726058067864263,0.27231188415489904,0.00029392263152727693,250,50,box,even
24,0.5780487284579496,0.5272362972533073,0.050812431204642294,100,25,Martin_et_al_2000,even
25,0.5749022340215713,0.5255237577639693,0.049378476257601944,100,25,triangle,even
26,0.5491356494135181,0.494747101049821,0.05438854836369711,100,25,box,even
27,0.5789442306984566,0.5269023686702391,0.05204186202821748,100,50,Martin_et_al_2000,even
28,0.5761563826292311,0.5250866690517737,0.051069713577457376,100,50,triangle,even
29,0.5477590893140106,0.49649944240875565,0.051259646905254974,100,50,box,even
30,0.45061925323581853,0.44221079083312675,0.008408462402691774,150,25,Martin_et_al_2000,even
31,0.4476734588373976,0.44010032267792265,0.007573136159474969,150,25,triangle,even
32,0.4145421858411389,0.40094243222676484,0.013599753614374044,150,25,box,even
33,0.4509442075894782,0.4423160581821003,0.008628149407377883,150,50,Martin_et_al_2000,even
34,0.44808697139788656,0.440264935145137,0.007822036252749576,150,50,triangle,even
35,0.413327932653077,0.4011879635626211,0.012139969090455893,150,50,box,even
36,0.3768892132364019,0.37428344658609336,0.0026057666503085386,200,25,Martin_et_al_2000,even
37,0.3752210692658501,0.37215535622992824,0.0030657130359218465,200,25,triangle,even
38,0.34490199451093306,0.32636846087134164,0.018533533639591426,200,25,box,even
39,0.3770130242481784,0.3742303865437572,0.0027826377044212203,200,50,Martin_et_al_2000,even
40,0.3753561466523775,0.37213023503369036,0.0032259116186871273,200,50,triangle,even
41,0.3447645970617178,0.32738301774725653,0.01738157931446127,200,50,box,even
42,0.3300097424836912,0.3211082765899579,0.008901465893733307,250,25,Martin_et_al_2000,even
43,0.32859039298473025,0.31922657369626917,0.009363819288461084,250,25,triangle,even
