,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.5871768720608949,0.5045550872308735,0.08262178483002136,100,25,Martin_et_al_2000,even
1,0.5841823414823244,0.5029552096838861,0.08122713179843832,100,25,triangle,even
2,0.5563667449182625,0.47269509271108423,0.08367165220717832,100,25,box,even
3,0.586709347078784,0.5044794190413782,0.08222992803740581,100,50,Martin_et_al_2000,even
4,0.5837602190291845,0.5028881970791916,0.08087202194999288,100,50,triangle,even
5,0.5557758727538982,0.46998637126133136,0.08578950149256681,100,50,box,even
6,0.4574327865703617,0.42157419799883167,0.035858588571530015,150,25,Martin_et_al_2000,even
7,0.45489069005019245,0.41938262090863765,0.0355080691415548,150,25,triangle,even
8,0.42089625590327173,0.3776537547245573,0.04324250117871442,150,25,box,even
9,0.45745432494736316,0.42182492632428803,0.035629398623075126,150,50,Martin_et_al_2000,even
10,0.45484715839355383,0.41969585649486674,0.03515130189868709,150,50,triangle,even
11,0.4207862743730846,0.3770610756470517,0.043725198726032866,150,50,box,even
12,0.37886568574306345,0.35465834603453406,0.024207339708529396,200,25,Martin_et_al_2000,even
13,0.37695380181970706,0.3524928944465171,0.024460907373189955,200,25,triangle,even
14,0.34118130576051153,0.31385165800325443,0.027329647757257103,200,25,box,even
15,0.37874832332442454,0.3548307359570966,0.023917587367327964,200,50,Martin_et_al_2000,even
16,0.3768556505933367,0.35258652831826787,0.024269122275068833,200,50,triangle,even
17,0.34242545242124467,0.3136850060568961,0.028740446364348582,200,50,box,even
18,0.3242791472099895,0.3050152947394441,0.019263852470545406,250,25,Martin_et_al_2000,even
19,0.3224202935465601,0.3029980024295472,0.01942229111701288,250,25,triangle,even
20,0.28702873858061506,0.26810282351561165,0.018925915065003407,250,25,box,even
21,0.32446061531412096,0.3050519716513991,0.01940864366272188,250,50,Martin_et_al_2000,even
22,0.3226349604406308,0.3030600517597455,0.019574908680885295,250,50,triangle,even
23,0.2865724525371234,0.26835104093716833,0.01822141159995505,250,50,box,even
24,0.5924357542046589,0.5314966130056923,0.060939141198966595,100,25,Martin_et_al_2000,even
25,0.5895485803087659,0.5295903774106249,0.05995820289814102,100,25,triangle,even
26,0.5628987523926715,0.49022809705885895,0.07267065533381256,100,25,box,even
27,0.5918956237563384,0.5299602095497584,0.06193541420658,100,50,Martin_et_al_2000,even
28,0.5886967778349552,0.5278935050604723,0.06080327277448294,100,50,triangle,even
29,0.5603376087208515,0.49169506961948806,0.06864253910136342,100,50,box,even
30,0.47268193592841956,0.4375119277617032,0.03517000816671634,150,25,Martin_et_al_2000,even
31,0.4701762798894381,0.4351469486812498,0.0350293312081883,150,25,triangle,even
32,0.43640970565541004,0.38948380286828477,0.04692590278712527,150,25,box,even
33,0.47275045051453846,0.4375357936785268,0.03521465683601166,150,50,Martin_et_al_2000,even
34,0.4700599981654091,0.435161409542569,0.03489858862284012,150,50,triangle,even
35,0.43414369864667623,0.38941312846199294,0.044730570184683294,150,50,box,even
36,0.4019083811402212,0.3621349309449705,0.03977345019525069,200,25,Martin_et_al_2000,even
37,0.4004283977547839,0.35991061358165755,0.04051778417312635,200,25,triangle,even
38,0.36545483213670826,0.322132249764019,0.04332258237268927,200,25,box,even
39,0.40200043512760886,0.36240781818648926,0.039592616941119596,200,50,Martin_et_al_2000,even
40,0.4004522164711106,0.36017073113447495,0.04028148533663567,200,50,triangle,even
41,0.36418844965527586,0.3217039177563592,0.042484531898916655,200,50,box,even
42,0.3535369319824557,0.30986265818998093,0.043674273792474794,250,25,Martin_et_al_2000,even
43,0.35190728221893564,0.3078477114449053,0.04405957077403033,250,25,triangle,even
44,0.3127676112167955,0.2761613534153998,0.0366062578013957,250,25,box,even
45,0.353429253004399,0.31001378662957,0.04341546637482896,250,50,Martin_et_al_2000,even
46,0.3518037818588041,0.3079602976761334,0.0438434841826707,250,50,triangle,even
47,0.3105083673060952,0.27563907274569044,0.03486929456040477,250,50,box,even
48,0.6129130287297702,0.5527634907071761,0.06014953802259404,100,25,Martin_et_al_2000,even
49,0.6102056260237432,0.5512933833673594,0.05891224265638373,100,25,triangle,even
50,0.5822520025620759,0.5219375287171766,0.0603144738448993,100,25,box,even
51,0.6128023419386628,0.5545030018743298,0.058299340064333016,100,50,Martin_et_al_2000,even
52,0.6101646643758274,0.5529816514478602,0.057183012927967236,100,50,triangle,even
53,0.5836458864168608,0.5220341175886873,0.06161176882817343,100,50,box,even
54,0.4974837793926882,0.4714401284400116,0.026043650952676578,150,25,Martin_et_al_2000,even
55,0.49492702437777614,0.4691792006826351,0.02574782369514106,150,25,triangle,even
56,0.4524330180319446,0.4259052943249123,0.02652772370703227,150,25,box,even
57,0.498023486467396,0.47215211187786155,0.02587137458953448,150,50,Martin_et_al_2000,even
58,0.4953934375056679,0.4698677285548801,0.025525708950787762,150,50,triangle,even
59,0.44981528656762104,0.42542968263943715,0.024385603928183897,150,50,box,even
60,0.42070756043370305,0.39924025025250565,0.021467310181197408,200,25,Martin_et_al_2000,even
61,0.41875500977640157,0.39690207386232235,0.02185293591407922,200,25,triangle,even
62,0.3700951475852431,0.34989491197452427,0.02020023561071882,200,25,box,even
