,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.6196457409787903,0.5438013376073041,0.07584440337148624,100,25,Martin_et_al_2000,even
1,0.6164262181003297,0.5423978056973524,0.0740284124029773,100,25,triangle,even
2,0.5879876124650742,0.5164747066736901,0.07151290579138414,100,25,box,even
3,0.6199946648601566,0.5447615837425193,0.07523308111763738,100,50,Martin_et_al_2000,even
4,0.617003684403254,0.5435227527173507,0.0734809316859033,100,50,triangle,even
5,0.5884482278707205,0.5201688145525887,0.06827941331813181,100,50,box,even
6,0.4823349286146793,0.4634642951959139,0.01887063341876538,150,25,Martin_et_al_2000,even
7,0.47883550389503204,0.46120936317191485,0.01762614072311719,150,25,triangle,even
8,0.44209716609496785,0.4191955260596364,0.02290164003533146,150,25,box,even
9,0.48181921242031345,0.46389336798018144,0.01792584444013201,150,50,Martin_et_al_2000,even
10,0.478362987535911,0.4616950891003929,0.01666789843551808,150,50,triangle,even
11,0.4403065685415114,0.4189180372350312,0.02138853130648022,150,50,box,even
12,0.39993914237101813,0.39131775215832665,0.008621390212691482,200,25,Martin_et_al_2000,even
13,0.3981252487910383,0.3889903005770009,0.009134948214037375,200,25,triangle,even
14,0.3610489848455469,0.34358691455254575,0.017462070293001175,200,25,box,even
15,0.39979671985885423,0.39109916830044944,0.008697551558404792,200,50,Martin_et_al_2000,even
16,0.3978636885584156,0.3888062668777267,0.009057421680688904,200,50,triangle,even
17,0.3630943515574022,0.34275151322257336,0.02034283833482886,200,50,box,even
18,0.34455859768424413,0.3350084211886043,0.009550176495639828,250,25,Martin_et_al_2000,even
19,0.34250886133147584,0.33284823785836903,0.00966062347310681,250,25,triangle,even
20,0.30769197282429617,0.29402167583984407,0.013670296984452102,250,25,box,even
21,0.34459312973509915,0.33513501251225897,0.009458117222840179,250,50,Martin_et_al_2000,even
22,0.3425931537175536,0.33303677854430813,0.00955637517324548,250,50,triangle,even
23,0.30824999141470233,0.29503878418607454,0.013211207228627786,250,50,box,even
24,0.3041598343362204,0.293333206959562,0.010826627376658404,300,25,Martin_et_al_2000,even
25,0.30250227315547873,0.29165646948394686,0.010845803671531873,300,25,triangle,even
26,0.27097534582040617,0.26151487341900725,0.009460472401398912,300,25,box,even
27,0.30414951076360297,0.2931782079059506,0.010971302857652354,300,50,Martin_et_al_2000,even
28,0.30250882707729776,0.29153911196489535,0.010969715112402412,300,50,triangle,even
29,0.27127222737132484,0.2627862426513803,0.00848598471994455,300,50,box,even
30,0.24614436286874475,0.2428787616819168,0.003265601186827949,400,25,Martin_et_al_2000,even
31,0.24438457239370837,0.2415768262620811,0.0028077461316272645,400,25,triangle,even
32,0.20987496753840718,0.22006130427528825,-0.010186336736881074,400,25,box,even
33,0.24616727318217824,0.24286958844255335,0.0032976847396248843,400,50,Martin_et_al_2000,even
34,0.2443608097419112,0.24157805678633226,0.0027827529555789488,400,50,triangle,even
35,0.20970046717647917,0.22023088051862572,-0.01053041334214655,400,50,box,even
36,0.20306042227069687,0.21230408271724666,-0.009243660446549784,500,25,Martin_et_al_2000,even
37,0.20134765191058368,0.21111640172783663,-0.009768749817252953,500,25,triangle,even
38,0.16513830536271168,0.18551419397830726,-0.020375888615595583,500,25,box,even
39,0.2030516176146192,0.21230616188176643,-0.009254544267147224,500,50,Martin_et_al_2000,even
40,0.20134448884488054,0.21113655523245167,-0.00979206638757113,500,50,triangle,even
41,0.16492277805702293,0.1858863069738761,-0.020963528916853158,500,50,box,even
42,0.610449374375976,0.5347731848442514,0.07567618953172461,100,25,Martin_et_al_2000,even
43,0.6072993254090961,0.533297866590281,0.07400145881881515,100,25,triangle,even
44,0.5782527916562363,0.5029997738506362,0.07525301780560012,100,25,box,even
45,0.608912531717045,0.5362106584714615,0.07270187324558341,100,50,Martin_et_al_2000,even
46,0.6056213202706664,0.5346453338598627,0.07097598641080372,100,50,triangle,even
47,0.5819482298778849,0.5049864736935702,0.07696175618431467,100,50,box,even
48,0.47270569169918286,0.45115638016635984,0.021549311532823023,150,25,Martin_et_al_2000,even
49,0.4696805867050704,0.4487721693251926,0.02090841737987781,150,25,triangle,even
50,0.431826448981085,0.40716223703928267,0.02466421194180235,150,25,box,even
51,0.472415238302602,0.4514378672742222,0.02097737102837982,150,50,Martin_et_al_2000,even
52,0.4695608765512289,0.4491045119206739,0.020456364630555002,150,50,triangle,even
53,0.4322051950018443,0.4078335309154276,0.024371664086416667,150,50,box,even
54,0.3899841374076706,0.38089401441973036,0.009090122987940208,200,25,Martin_et_al_2000,even
55,0.3885314545695583,0.37867756644920236,0.009853888120355925,200,25,triangle,even
56,0.3559027377849041,0.33953459372171124,0.01636814406319287,200,25,box,even
57,0.38965936165281534,0.3807687713284481,0.008890590324367231,200,50,Martin_et_al_2000,even
58,0.38814946424613184,0.3786908362059459,0.009458628040185935,200,50,triangle,even
59,0.3569749049095766,0.33962782536444536,0.01734707954513126,200,50,box,even
60,0.3368558873780505,0.32977496630886916,0.007080921069181345,250,25,Martin_et_al_2000,even
61,0.3349869545278087,0.32763443264512215,0.007352521882686536,250,25,triangle,even
62,0.30427242812436917,0.28923607749395486,0.015036350630414308,250,25,box,even
63,0.33690338007289666,0.32973576458027865,0.007167615492618018,250,50,Martin_et_al_2000,even
64,0.33500972164485976,0.3275291765920093,0.007480545052850451,250,50,triangle,even
65,0.30475390497675947,0.29071585794030586,0.014038047036453616,250,50,box,even
66,0.29771196214216766,0.29078378473592636,0.006928177406241298,300,25,Martin_et_al_2000,even
67,0.2959921341274204,0.28870043870281603,0.007291695424604394,300,25,triangle,even
68,0.2682179514620938,0.2533971398746183,0.014820811587475502,300,25,box,even
69,0.29767005145724346,0.2908466514561958,0.0068234000010476414,300,50,Martin_et_al_2000,even
70,0.29594961027726885,0.2887740300598266,0.007175580217442246,300,50,triangle,even
71,0.2684781058597302,0.2545836665150155,0.013894439344714682,300,50,box,even
72,0.24375584445599585,0.23642412715302574,0.007331717302970109,400,25,Martin_et_al_2000,even
73,0.2421383172494116,0.2349615583232807,0.0071767589261308995,400,25,triangle,even
74,0.2128176734313727,0.19799277446016839,0.014824898971204314,400,25,box,even
75,0.2437438065830988,0.2363503015132279,0.007393505069870909,400,50,Martin_et_al_2000,even
76,0.24215527225547306,0.23487380387029533,0.007281468385177736,400,50,triangle,even
77,0.21212746746655586,0.19858701989518668,0.013540447571369185,400,50,box,even
78,0.20455787582948814,0.1960389513375138,0.008518924491974333,500,25,Martin_et_al_2000,even
79,0.20287488973064194,0.1944834155819839,0.00839147414865804,500,25,triangle,even
80,0.16878577824635566,0.1530929605787238,0.015692817667631864,500,25,box,even
81,0.20455500827109419,0.19604749689596945,0.008507511375124732,500,50,Martin_et_al_2000,even
82,0.2028622284255719,0.1944748793142561,0.008387349111315778,500,50,triangle,even
83,0.16842990163863802,0.153731147984295,0.014698753654343033,500,50,box,even
84,0.6172408345154224,0.5573427852313797,0.05989804928404274,100,25,Martin_et_al_2000,even
85,0.614137592108004,0.555841305561837,0.05829628654616703,100,25,triangle,even
86,0.5854591698845956,0.5242154071760124,0.061243762708583116,100,25,box,even
87,0.6164645087622527,0.5585872249931683,0.05787728376908441,100,50,Martin_et_al_2000,even
88,0.6136672419839815,0.5572180672601974,0.05644917472378408,100,50,triangle,even
89,0.5887464601656778,0.5265705357027335,0.06217592446294429,100,50,box,even
90,0.47692050731184255,0.47032384025377827,0.006596667058064276,150,25,Martin_et_al_2000,even
91,0.47367886803257053,0.46797416037840633,0.005704707654164198,150,25,triangle,even
92,0.4391355582738725,0.42287034965080483,0.016265208623067684,150,25,box,even
93,0.47683461681029504,0.46971048143085603,0.007124135379439012,150,50,Martin_et_al_2000,even
94,0.47357957876290235,0.46741836875779075,0.006161210005111606,150,50,triangle,even
95,0.4411731022489508,0.42266397066502925,0.018509131583921534,150,50,box,even
96,0.3953793484878295,0.3957975868019512,-0.0004182383141216883,200,25,Martin_et_al_2000,even
97,0.3936937196238315,0.393397164249093,0.00029655537473849414,200,25,triangle,even
98,0.36006375043144345,0.35053155698744276,0.009532193444000692,200,25,box,even
99,0.3952090080540933,0.39599308014962975,-0.0007840720955364366,200,50,Martin_et_al_2000,even
100,0.3935483306409434,0.3935399702123761,8.360428567333322e-06,200,50,triangle,even
101,0.36014390479025615,0.35165889031359143,0.00848501447666472,200,50,box,even
102,0.34223425475432256,0.3384245296039031,0.0038097251504194407,250,25,Martin_et_al_2000,even
103,0.3400729612123742,0.33614221457297455,0.003930746639399629,250,25,triangle,even
104,0.30458294120578244,0.29303613983129917,0.011546801374483273,250,25,box,even
105,0.342223627698661,0.33854900637410557,0.003674621324555427,250,50,Martin_et_al_2000,even
106,0.3400439561529425,0.33632583945800953,0.003718116694932938,250,50,triangle,even
107,0.30396271582209156,0.2940277898380923,0.009934925983999254,250,50,box,even
108,0.30156769379735826,0.29228520617985576,0.0092824876175025,300,25,Martin_et_al_2000,even
109,0.2997839494910439,0.29009027891999384,0.009693670571050084,300,25,triangle,even
110,0.26427950679287093,0.2487551795670112,0.015524327225859724,300,25,box,even
111,0.3015431823527833,0.2923180031239542,0.00922517922882915,300,50,Martin_et_al_2000,even
112,0.29977960613455057,0.29010132992137605,0.00967827621317452,300,50,triangle,even
113,0.26411707322777644,0.24796674351026593,0.016150329717510514,300,50,box,even
114,0.24279979609044577,0.22387661366780875,0.01892318242263702,400,25,Martin_et_al_2000,even
115,0.24121503473043981,0.22201588020528062,0.01919915452515919,400,25,triangle,even
116,0.19994738490209873,0.19121056915823487,0.008736815743863868,400,25,box,even
117,0.24285029556923998,0.2239566399294599,0.01889365563978007,400,50,Martin_et_al_2000,even
118,0.241244626804899,0.22206835222469445,0.019176274580204544,400,50,triangle,even
119,0.1999094853760216,0.1913579669137655,0.008551518462256102,400,50,box,even
120,0.19886125383373798,0.18038483922411808,0.018476414609619907,500,25,Martin_et_al_2000,even
121,0.19720142963170484,0.17881258699562308,0.01838884263608176,500,25,triangle,even
122,0.1527129167953356,0.15771414788571314,-0.005001231090377534,500,25,box,even
123,0.19886664941977505,0.18040852406455,0.018458125355225063,500,50,Martin_et_al_2000,even
124,0.1971973648789861,0.17884389984442672,0.01835346503455937,500,50,triangle,even
125,0.15246467197229285,0.15789188268190013,-0.0054272107096072775,500,50,box,even
126,0.5976201681551725,0.521347444016891,0.07627272413828146,100,25,Martin_et_al_2000,even
127,0.5942455861578284,0.5198173762477742,0.07442820991005417,100,25,triangle,even
128,0.5642137287880107,0.489128724237314,0.07508500455069667,100,25,box,even
129,0.5980600032834822,0.5207489878035063,0.07731101547997588,100,50,Martin_et_al_2000,even
130,0.5947768226650612,0.5192074620411307,0.07556936062393049,100,50,triangle,even
131,0.567239863483422,0.48972599055402644,0.0775138729293956,100,50,box,even
132,0.44955135505840316,0.4415539831884504,0.007997371869952752,150,25,Martin_et_al_2000,even
133,0.44620862006416073,0.43940953332011157,0.006799086744049165,150,25,triangle,even
134,0.4128046008470293,0.39675910549069815,0.016045495356331152,150,25,box,even
135,0.4499899548850085,0.4418834126972513,0.008106542187757193,150,50,Martin_et_al_2000,even
136,0.44643961253705333,0.43984063027603926,0.006598982261014075,150,50,triangle,even
137,0.41235633404781835,0.39841460684005414,0.01394172720776421,150,50,box,even
138,0.36706457020628813,0.371386204216942,-0.004321634010653885,200,25,Martin_et_al_2000,even
139,0.3654043550554752,0.36897240709622203,-0.0035680520407468386,200,25,triangle,even
140,0.332505761697946,0.3206319854474228,0.011873776250523216,200,25,box,even
141,0.36706606889554716,0.371521093899422,-0.004455025003874846,200,50,Martin_et_al_2000,even
142,0.3654183011485812,0.36911370831187507,-0.0036954071632938623,200,50,triangle,even
143,0.334339387256784,0.32013910520798716,0.014200282048796864,200,50,box,even
144,0.3153554265546584,0.3139355818973598,0.0014198446572986079,250,25,Martin_et_al_2000,even
145,0.3134085999584708,0.31142205798248734,0.001986541975983469,250,25,triangle,even
146,0.2791833426912229,0.26455910018593376,0.014624242505289153,250,25,box,even
147,0.31529096037250326,0.313910711140581,0.0013802492319222592,250,50,Martin_et_al_2000,even
148,0.31334131843038093,0.3113691377156351,0.001972180714745808,250,50,triangle,even
149,0.2785627530058118,0.26529287862859874,0.013269874377213053,250,50,box,even
150,0.27810879091642504,0.26839690011822503,0.009711890798200007,300,25,Martin_et_al_2000,even
151,0.2765405418893392,0.26608888061946445,0.010451661269874735,300,25,triangle,even
152,0.24380920086138902,0.22046843585869302,0.023340765002695996,300,25,box,even
153,0.27805764018850776,0.26842691188810175,0.00963072830040601,300,50,Martin_et_al_2000,even
154,0.27647910628781647,0.26613877651167683,0.010340329776139634,300,50,triangle,even
155,0.2426888260570479,0.22068525955161034,0.022003566505437555,300,50,box,even
156,0.2245450052006449,0.2043311852331371,0.020213819967507818,400,25,Martin_et_al_2000,even
157,0.22320690055807757,0.20276758339340328,0.020439317164674287,400,25,triangle,even
158,0.18809340766027083,0.17158807066441084,0.016505336995859987,400,25,box,even
159,0.22456247150311193,0.2043510442295149,0.020211427273597038,400,50,Martin_et_al_2000,even
160,0.22319845214102907,0.20277732110748758,0.020421131033541484,400,50,triangle,even
161,0.18707890132292326,0.17195875798400762,0.015120143338915648,400,50,box,even
162,0.18489268551946603,0.16491969833747155,0.019972987181994473,500,25,Martin_et_al_2000,even
163,0.18338580418667927,0.16388288048851996,0.019502923698159313,500,25,triangle,even
164,0.14586993143978944,0.14452068196786516,0.0013492494719242742,500,25,box,even
165,0.18490052563347004,0.16492376048231772,0.01997676515115232,500,50,Martin_et_al_2000,even
166,0.18337288267748852,0.16389786629511593,0.01947501638237259,500,50,triangle,even
167,0.1454670124535934,0.14484686081190457,0.0006201516416888264,500,50,box,even
168,0.607196071695975,0.5041302858521777,0.10306578584379733,100,25,Martin_et_al_2000,even
169,0.6042285932788956,0.502745479137457,0.10148311414143851,100,25,triangle,even
170,0.5746789936003609,0.47289156128918763,0.10178743231117326,100,25,box,even
171,0.6082661025078028,0.5058394853953307,0.10242661711247203,100,50,Martin_et_al_2000,even
172,0.6052238303728739,0.5045333406738765,0.10069048969899741,100,50,triangle,even
173,0.5743278585844305,0.4722438270552146,0.10208403152921586,100,50,box,even
174,0.47689492409190537,0.42170910793582583,0.05518581615607954,150,25,Martin_et_al_2000,even
175,0.47388317496704646,0.419308409516962,0.05457476545008444,150,25,triangle,even
176,0.4382915322462383,0.37332398041909987,0.06496755182713843,150,25,box,even
177,0.47691633800174915,0.4213344621654421,0.055581875836307026,150,50,Martin_et_al_2000,even
178,0.47384921658808077,0.41905451358362367,0.0547947030044571,150,50,triangle,even
179,0.435191579265658,0.37308159860131007,0.06210998066434792,150,50,box,even
180,0.40035764298981935,0.35149976749099066,0.048857875498828696,200,25,Martin_et_al_2000,even
181,0.3989162412088487,0.34934621337896743,0.04957002782988129,200,25,triangle,even
182,0.3641328654826961,0.30626074363523326,0.05787212184746282,200,25,box,even
183,0.40021700781854475,0.35165745610240207,0.04855955171614268,200,50,Martin_et_al_2000,even
184,0.398716539256163,0.349634894038209,0.049081645217953995,200,50,triangle,even
185,0.3629857797395135,0.3070988358792056,0.0558869438603079,200,50,box,even
