,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.6276579994342117,0.548449274389708,0.07920872504450371,100,25,Martin_et_al_2000,even
1,0.624854538463087,0.5469806100852821,0.07787392837780494,100,25,triangle,even
2,0.5965081754520193,0.5164867559077118,0.08002141954430753,100,25,box,even
3,0.6280692442842555,0.5482283658251792,0.07984087845907628,100,50,Martin_et_al_2000,even
4,0.6251828035220092,0.5467980332856153,0.0783847702363939,100,50,triangle,even
5,0.5953626183493586,0.5165033022547436,0.07885931609461494,100,50,box,even
6,0.49081908716035205,0.46020284945454004,0.03061623770581201,150,25,Martin_et_al_2000,even
7,0.48733021818605304,0.4576444553671333,0.02968576281891977,150,25,triangle,even
8,0.4469274591837433,0.4101545921390324,0.036772867044710944,150,25,box,even
9,0.4907747025108693,0.4606891447719965,0.03008555773887278,150,50,Martin_et_al_2000,even
10,0.4872485311357999,0.45828067987383037,0.028967851261969546,150,50,triangle,even
11,0.44822653236999654,0.41043172736757527,0.03779480500242127,150,50,box,even
12,0.4066027439757479,0.3842177177354794,0.022385026240268502,200,25,Martin_et_al_2000,even
13,0.40461227923764975,0.38172869593152736,0.02288358330612239,200,25,triangle,even
14,0.36389674322458954,0.3351500311774477,0.028746712047141854,200,25,box,even
15,0.40651560868543635,0.3842290036510524,0.022286605034383955,200,50,Martin_et_al_2000,even
16,0.4045194708770481,0.3818138862238576,0.022705584653190503,200,50,triangle,even
17,0.36643349825520877,0.33383743578557545,0.03259606246963331,200,50,box,even
18,0.3499145145731778,0.3271054085620496,0.022809106011128177,250,25,Martin_et_al_2000,even
19,0.3477351647826412,0.32497039039549314,0.02276477438714808,250,25,triangle,even
20,0.30374992343027063,0.2846397499676,0.019110173462670632,250,25,box,even
21,0.35000851544688905,0.3271019148044759,0.022906600642413122,250,50,Martin_et_al_2000,even
22,0.3478491021922324,0.32501092826045397,0.02283817393177845,250,50,triangle,even
23,0.30293745330851285,0.28418511799342805,0.0187523353150848,250,50,box,even
24,0.3062906561041775,0.2857706456633049,0.020520010440872594,300,25,Martin_et_al_2000,even
25,0.30458775580086384,0.2841259441483951,0.020461811652468742,300,25,triangle,even
26,0.26485113735949095,0.25048300059420026,0.014368136765290696,300,25,box,even
27,0.30628775907357664,0.2858040418627812,0.02048371721079545,300,50,Martin_et_al_2000,even
28,0.3045625714051686,0.2841354299207577,0.020427141484410938,300,50,triangle,even
29,0.2645845910591904,0.24973647962133805,0.014848111437852363,300,50,box,even
30,0.2430914480895111,0.23276006214338985,0.010331385946121263,400,25,Martin_et_al_2000,even
31,0.24159659927062427,0.2313284403702195,0.010268158900404778,400,25,triangle,even
32,0.2058586254415773,0.20345478580164333,0.002403839639933958,400,25,box,even
33,0.24303374477053785,0.23280292855338136,0.010230816217156491,400,50,Martin_et_al_2000,even
34,0.2415559156519439,0.2314058648067534,0.010150050845190495,400,50,triangle,even
35,0.20573213672991641,0.20370525966097008,0.002026877068946331,400,50,box,even
36,0.19934219723579427,0.19785036834603964,0.0014918288897546317,500,25,Martin_et_al_2000,even
37,0.19789086932933564,0.1965779672254977,0.001312902103837943,500,25,triangle,even
38,0.16168013203538745,0.17210468787966882,-0.010424555844281369,500,25,box,even
39,0.19933085207907586,0.19788963081890276,0.0014412212601730978,500,50,Martin_et_al_2000,even
40,0.19785125934698333,0.19664885030877133,0.0012024090382120045,500,50,triangle,even
41,0.16110890678281542,0.17161216802399015,-0.010503261241174733,500,50,box,even
42,0.606562524525355,0.5410111614397388,0.06555136308561615,100,25,Martin_et_al_2000,even
43,0.6034085147270544,0.5391595039085866,0.06424901081846779,100,25,triangle,even
44,0.5755220775067766,0.5032452594374306,0.07227681806934605,100,25,box,even
45,0.6065719766552868,0.5401679217814284,0.06640405487385848,100,50,Martin_et_al_2000,even
46,0.603361445333991,0.5383604194058829,0.06500102592810819,100,50,triangle,even
47,0.5760872178948375,0.5038154662158412,0.07227175167899635,100,50,box,even
