id	quarter	plot.number	plot.part	taxpayer.men	taxpayer.women	no.tax.men	no.tax.women	in.russia.men	in.russia.women	total.men	total.women	owner	rent	other	orthodox	other.christian	other.religion	draftee
1	1	1		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
2	1	2		2	3	2	2	0	0	4	5	0	9	0	0	0	0	0
3	1	2		1	1	1	2	0	0	2	3	5	0	0	0	0	0	0
4	1	2		3	4	1	0	0	0	4	4	8	0	0	0	0	0	0
5	1	2		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
6	1	3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	4		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
8	1	5		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
9	1	5		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
10	1	5		1	1	1	1	0	0	3	0	0	5	0	0	0	0	0
11	1	5		1	1	1	1	0	0	2	0	0	4	0	0	0	0	0
12	1	6		0	3	0	1	0	0	0	4	3	1	0	0	0	0	0
13	1	6		0	1	1	0	0	0	1	1	2	0	0	0	2	0	0
14	1	6		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
15	1	6		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
16	1	6		1	1	1	0	0	0	2	1	3	0	0	0	0	0	0
17	1	7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	1	8		1	0	3	1	0	0	1	4	4	1	0	0	0	0	0
19	1	8		3	2	1	0	0	0	4	2	6	0	0	0	0	0	1
20	1	8		2	5	1	1	0	0	3	6	8	1	0	0	0	0	0
21	1	8		1	5	1	3	0	0	2	7	7	2	0	0	0	0	0
22	1	8		1	1	1	2	0	0	2	3	0	5	0	0	0	0	0
23	1	8		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
24	1	8		0	1	0	1	0	0	0	2	0	0	2	0	0	0	0
25	1	9		0	2	0	0	0	0	0	2	1	1	0	0	0	0	0
26	1	9		0	3	0	0	0	0	0	3	2	1	0	0	0	0	0
27	1	9		1	1	1	1	0	0	2	2	0	4	0	0	0	0	0
28	1	9		2	1	0	0	0	0	2	1	3	0	0	0	0	0	0
29	1	9		1	2	0	0	0	0	1	2	0	0	3	0	0	0	0
30	1	9		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
31	1	9		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
32	1	10		8	6	1	1	0	0	9	7	7	9	0	0	0	0	0
33	1	10		4	1	1	0	0	0	5	1	6	0	0	0	6	0	0
34	1	10		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
35	1	11		1	3	5	3	0	0	6	6	9	3	0	0	0	0	0
36	1	11		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
37	1	11		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
38	1	11		1	1	2	2	0	0	3	3	6	0	0	0	0	0	0
39	1	12		0	7	0	1	0	0	0	8	5	3	0	1	0	0	0
40	1	12		1	3	1	3	0	0	2	6	6	2	0	0	0	0	0
41	1	12		1	1	2	0	0	0	3	1	0	0	0	0	0	0	0
42	1	12		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
43	1	12		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
44	1	12		0	1	1	0	0	0	1	1	2	0	0	0	0	0	0
45	1	12		0	1	2	0	0	0	2	1	0	0	3	0	0	0	0
46	1	12		1	1	1	0	0	0	2	1	3	0	0	0	0	0	0
47	1	12		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
48	1	12		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
49	1	12		1	1	0	2	0	0	1	3	0	4	0	0	0	0	0
50	1	12		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
51	1	12		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
52	1	14		0	2	1	1	0	0	1	3	3	1	0	0	0	0	0
53	1	14		1	3	0	0	0	0	1	3	4	0	0	0	0	0	0
54	1	15		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
55	1	15		0	3	7	0	0	0	1	3	3	2	0	0	0	0	0
56	1	15		2	1	3	0	0	0	5	1	5	1	0	0	0	0	0
57	1	16		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	1	17		1	8	1	2	0	0	2	10	3	9	0	0	0	0	0
59	1	17		1	1	3	1	0	0	0	5	2	0	6	0	0	0	0
60	1	17		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
61	1	17		2	7	5	2	0	0	7	9	7	9	0	0	0	0	0
62	1	17		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
